Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",360,156,830,603,336,1079,1419,998,2018,686,252,1864,554,280,1093,361,154,845
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",409,187,892,556,276,1120,485,254,925,755,447,1276,211,129,344,274,144,518
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",207,131,328,206,127,335,330,157,692,266,141,501,239,137,416,218,133,357
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",218,130,364,462,240,888,360,164,792,349,150,810,289,148,565,202,127,322
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",235,134,410,,,,549,245,1230,510,187,1391,296,151,582,239,135,421
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",273,144,517,575,328,1008,532,191,1478,686,248,1897,314,148,665,267,142,501
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",256,138,476,,,,699,256,1910,676,238,1917,342,147,793,253,137,465
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",282,146,547,711,440,1148,670,253,1770,732,259,2068,368,161,844,268,139,517
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",258,140,474,264,160,435,617,268,1418,722,290,1795,268,135,528,257,137,480
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",182,124,266,204,125,333,201,117,345,212,120,374,185,119,288,181,123,265
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",245,135,446,,,,515,213,1242,481,212,1092,309,146,651,230,130,407
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",552,226,1344,601,290,1242,568,278,1161,704,271,1825,324,151,694,261,142,478
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",418,178,981,233,144,376,622,272,1419,419,179,979,321,151,681,250,149,418
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",223,132,377,406,201,820,185,116,296,191,120,305,245,137,436,219,130,366
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",194,127,298,,,,218,130,365,211,129,346,226,131,388,188,125,282
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",171,118,248,175,118,260,186,126,276,211,122,363,216,126,370,167,117,238
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",211,119,373,182,107,309,192,122,301,177,113,278,219,124,384,216,119,391
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",327,153,700,459,216,976,374,168,828,322,148,700,269,139,521,205,121,347
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",224,135,369,715,408,1255,587,273,1263,569,231,1400,373,169,822,223,136,365
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",698,292,1668,310,261,368,940,450,1962,648,265,1585,536,219,1310,250,140,447
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",605,249,1471,,,,1006,563,1798,532,206,1372,526,229,1204,284,148,542
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",289,147,567,318,169,596,1726,1161,2565,1045,424,2573,780,312,1946,286,145,563
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",243,135,436,245,151,398,400,183,874,596,226,1572,283,143,562,243,134,439
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",231,138,386,167,125,223,281,139,565,233,126,430,205,127,330,238,140,404
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",265,151,464,1032,659,1617,399,171,930,612,237,1576,261,137,496,253,147,434
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4900 A. Arnaiz Ave, Makati, Metro Manila",920,423,1997,646,391,1065,1485,945,2334,846,450,1590,712,278,1825,208,133,326
