Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1364,888,2093,,,,,,,3520,2800,4425,2638,1888,3686,1361,862,2147
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2140,1502,3049,,,,2439,1988,2992,2844,2383,3395,1476,1178,1849,1315,869,1991
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",836,753,928,,,,,,,1723,1277,2324,1309,977,1753,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,2145,1661,2771,1964,1736,2221,1389,1081,1784,,,
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,3391,2744,4189,2098,1926,2286,,,,,,
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,4090,2930,5709,2658,2318,3049,2020,1499,2723,,,
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,,,,2041,1483,2809,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2792,2045,3812,,,,3883,3084,4890,2974,2316,3817,2148,1784,2586,,,
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,2356,1988,2791,,,,,,,,,
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1147,932,1412,,,,1382,1226,1559,1068,875,1304,1062,912,1238,,,
