Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3399,2767,4174,,,,,,,,,,,,,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3003,2118,4259,,,,,,,,,,,,,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",2293,1887,2787,,,,,,,,,,,,,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",2513,2007,3147,,,,,,,,,,,,,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3254,2656,3987,,,,,,,,,,,,,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,2222,1724,2864,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3101,2467,3898,,,,,,,,,,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",1357,1214,1517,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",1853,1637,2098,,,,,,,,,,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3412,2335,4987,,,,,,,,,,,,,,,
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",2795,2353,3320,,,,,,,,,,,,,,,
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",2883,2067,4021,,,,,,,,,,,,,,,
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3902,3286,4634,,,,,,,,,,,,,,,
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",,,,,,,,,,3756,3211,4392,,,,,,
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","100 D. Tuazon, Santa Mesa Heights, Quezon City, Metro Manila",3819,2989,4879,,,,,,,,,,,,,,,
