Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",853,499,1456,,,,2990,2291,3901,2398,1816,3166,962,645,1436,795,474,1334
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",996,656,1511,,,,1457,1078,1968,1014,808,1273,654,528,810,694,485,993
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",788,553,1124,,,,1146,735,1786,748,554,1010,644,550,753,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1117,656,1902,,,,1508,1218,1867,1086,750,1574,665,458,966,763,475,1225
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1033,492,2166,,,,1084,631,1863,1222,809,1846,755,476,1198,1033,492,2166
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",616,417,910,,,,2282,1818,2864,1639,1328,2022,811,581,1131,616,417,910
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1839,1157,2922,,,,2110,1653,2694,1946,1597,2371,1111,672,1839,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2067,1392,3071,,,,2750,2259,3349,2154,1479,3138,1691,1165,2455,566,413,774
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1157,724,1848,,,,1335,956,1864,1379,1004,1893,586,487,705,507,392,657
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",563,387,820,,,,716,524,978,,,,468,431,509,495,379,646
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,1910,1468,2485,1124,784,1612,772,525,1136,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1392,873,2217,,,,2260,1937,2637,1426,1017,1999,986,636,1529,475,370,609
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1656,1258,2180,,,,,,,1637,1177,2276,1657,1386,1982,569,397,815
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",803,463,1392,,,,,,,,,,,,,635,423,953
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,,,,,,,571,435,750,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",613,451,834,,,,590,450,772,675,479,952,532,428,661,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",560,422,743,,,,685,556,844,745,541,1026,,,,591,456,766
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1013,636,1612,,,,,,,972,707,1338,871,533,1421,617,420,908
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1619,926,2832,,,,2296,1797,2933,1628,1303,2033,1221,655,2278,,,
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",718,463,1114,,,,,,,1525,1250,1861,1612,884,2941,718,463,1114
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",915,541,1550,,,,2737,1984,3775,1710,1241,2356,1717,939,3138,781,494,1232
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1964,1135,3397,,,,,,,2405,1967,2941,1325,771,2275,833,562,1232
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1030,599,1772,,,,1361,869,2131,1103,818,1487,682,426,1091,635,439,918
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",768,559,1057,,,,857,680,1079,676,537,849,737,523,1038,,,
