Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",575,265,1249,570,482,675,752,506,1118,847,555,1291,286,154,531,223,129,387
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",277,164,468,215,138,335,380,200,720,323,197,530,203,140,293,163,117,225
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",246,160,376,135,104,175,326,231,462,228,159,327,242,154,378,146,110,193
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",280,147,534,989,709,1377,184,122,278,305,167,556,197,124,314,268,136,528
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",250,132,476,,,,262,157,437,324,194,543,240,133,432,246,131,462
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",421,209,851,889,661,1196,566,336,953,485,285,824,200,128,313,251,134,469
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",599,266,1350,1072,714,1608,775,420,1430,772,510,1169,243,144,413,203,122,337
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",554,268,1141,735,580,933,1208,805,1812,584,348,980,282,156,509,198,123,318
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",181,118,278,214,124,369,476,236,960,520,348,777,189,138,260,177,118,266
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",199,136,292,175,116,264,204,139,299,207,145,296,192,130,284,171,113,258
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",286,144,568,607,486,757,315,172,578,255,158,412,226,132,385,268,138,519
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",396,215,732,665,498,888,594,365,967,431,267,697,245,138,434,207,128,336
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",442,220,889,387,181,828,1035,793,1351,473,294,760,275,132,572,164,119,226
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",181,118,279,148,113,195,159,113,222,175,114,269,208,128,339,173,118,256
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",159,106,238,126,116,136,165,108,251,157,103,238,149,111,200,155,106,227
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",152,104,223,167,111,251,191,122,299,181,120,274,187,121,288,154,104,228
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",242,151,388,143,116,175,252,172,369,254,158,409,263,157,440,159,105,241
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",302,166,552,691,486,984,195,126,302,298,183,486,213,132,344,280,143,548
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",425,235,769,737,594,914,393,227,680,480,332,694,233,137,396,253,133,481
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",278,141,547,703,522,946,1009,750,1357,476,284,797,375,176,797,250,135,463
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",281,141,561,731,545,979,1354,866,2117,562,377,840,342,178,657,238,130,437
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",692,308,1553,687,518,911,1097,837,1437,976,687,1385,291,159,535,288,149,560
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",180,122,267,474,350,641,210,141,312,298,197,450,223,145,345,174,120,254
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",246,155,389,167,120,232,344,231,511,223,152,328,247,153,399,158,114,219
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",293,143,603,789,600,1036,446,290,685,449,253,797,357,159,802,257,133,497
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",265,134,523,860,651,1136,1378,1068,1778,876,606,1267,333,156,709,229,127,415
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",249,133,464,945,769,1160,1944,1286,2938,859,632,1168,401,171,939,215,126,366
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",789,396,1570,976,780,1220,1159,705,1907,727,482,1097,600,236,1528,242,134,440
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",170,119,243,160,129,199,209,138,315,238,148,384,197,134,289,171,119,246
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",269,165,438,183,126,264,221,148,329,394,267,582,211,147,302,174,120,252
04/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",169,115,248,171,116,251,205,141,299,205,137,308,196,136,280,170,115,251
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",200,135,296,146,114,187,228,141,368,203,138,300,192,137,268,182,114,291
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",252,134,474,910,515,1608,779,491,1236,509,280,924,262,141,483,246,132,458
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",786,408,1517,970,689,1365,937,692,1268,947,695,1291,334,185,602,235,129,427
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",246,130,464,759,572,1007,692,436,1100,533,332,855,277,148,517,212,123,367
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",217,127,368,728,535,990,1371,989,1899,699,484,1010,365,169,791,196,124,310
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",275,164,460,187,132,266,206,134,316,386,258,576,200,138,290,188,120,294
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",222,147,334,128,120,136,233,165,329,220,150,322,238,148,381,152,105,218
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",262,135,508,912,716,1161,183,128,261,323,175,596,239,136,419,244,131,455
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",444,211,935,827,663,1032,441,215,902,623,420,924,201,134,303,216,126,370
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",675,374,1216,753,573,989,648,397,1055,788,594,1047,398,186,850,259,151,445
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",225,129,392,696,527,919,283,163,491,635,464,870,202,128,318,199,124,319
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",266,134,531,1079,846,1376,1857,1352,2551,903,623,1311,409,176,949,204,121,344
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",354,196,639,220,133,362,397,216,731,436,282,673,277,149,515,164,117,229
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",202,119,343,130,119,143,332,260,425,262,169,408,271,166,442,210,121,364
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",394,176,881,823,500,1354,1623,1175,2241,310,166,578,225,130,387,234,121,453
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",369,197,688,654,287,1493,335,188,597,326,203,523,308,157,607,259,137,490
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",603,279,1301,699,592,825,1132,854,1501,536,291,988,364,164,810,211,125,357
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",244,133,448,944,720,1237,371,259,530,376,215,658,194,130,290,211,125,354
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",272,139,532,698,534,913,1370,1079,1741,591,345,1009,314,160,615,227,128,400
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",172,119,248,239,136,422,220,138,351,369,248,549,209,136,321,166,118,232
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",173,115,261,170,114,252,333,206,537,288,184,451,380,210,689,175,115,266
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",274,140,533,689,518,916,229,130,402,213,137,330,212,128,351,258,136,489
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",407,206,800,638,399,1021,363,193,685,538,377,767,203,128,323,222,128,387
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",438,223,863,780,617,986,693,480,1000,449,266,758,242,137,426,231,129,413
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",260,138,488,655,435,987,466,277,785,575,388,853,195,132,287,223,129,386
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",278,140,555,618,460,831,1458,1033,2057,401,216,742,501,208,1205,236,130,428
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",317,198,508,216,134,349,232,156,346,423,315,568,223,152,327,164,115,233
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",165,114,237,150,110,206,275,200,378,327,236,452,220,149,324,166,115,240
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",284,139,580,726,604,873,212,129,348,275,155,485,175,125,245,257,134,494
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",252,131,483,741,586,937,777,521,1159,523,323,847,771,300,1983,212,123,365
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",423,205,869,807,626,1040,492,263,919,540,328,888,191,125,291,222,114,434
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",517,244,1094,900,680,1193,662,396,1108,557,314,987,294,146,591,223,128,390
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",450,226,894,619,489,783,849,510,1414,393,229,674,311,154,630,200,125,322
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",154,119,198,254,164,391,415,237,724,377,231,615,223,137,362,155,118,203
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",260,153,441,130,117,144,205,142,297,345,201,592,220,140,346,186,117,296
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",298,147,604,690,589,807,209,126,347,215,139,332,187,122,286,268,138,518
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",612,309,1215,847,623,1151,1147,753,1748,536,380,757,381,162,892,217,124,377
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",231,128,415,675,574,794,1751,1196,2563,934,614,1420,277,141,542,199,122,325
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",259,137,490,746,493,1130,669,457,981,634,437,921,204,128,324,210,126,352
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",1005,478,2111,1124,876,1442,1978,1263,3097,918,662,1272,509,221,1173,216,134,349
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",169,123,232,170,137,211,243,155,379,426,272,666,214,138,330,169,121,235
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",168,110,257,150,119,189,214,139,331,312,174,562,176,128,243,172,110,267
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",152,107,215,171,115,254,231,144,369,242,147,398,204,130,321,152,108,212
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",487,226,1049,827,626,1093,1010,638,1599,406,220,750,289,149,561,248,136,452
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",793,409,1538,759,645,894,2271,1369,3766,649,473,891,692,250,1912,246,131,461
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",271,137,535,,,,2880,2073,4000,535,276,1036,877,320,2399,260,135,501
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",323,154,673,796,590,1075,2130,1499,3028,904,492,1662,411,182,926,297,148,596
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",178,120,263,261,158,431,597,292,1219,616,371,1022,212,141,320,178,119,267
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",150,110,205,138,116,164,261,177,385,250,170,369,213,139,326,152,109,210
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",269,138,526,713,372,1367,1384,692,2769,364,210,631,328,151,713,249,133,464
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",882,358,2170,1056,819,1362,2812,1839,4300,938,638,1379,379,164,877,252,133,476
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",799,360,1774,880,687,1127,2556,1831,3569,678,476,966,509,197,1312,235,130,425
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",278,140,549,948,797,1127,1984,1555,2531,560,294,1067,241,137,424,250,134,468
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",746,303,1834,811,710,925,2418,1801,3245,681,324,1431,346,162,739,196,119,323
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",369,188,723,175,136,225,454,220,933,553,287,1066,226,142,359,167,117,237
06/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",211,141,318,183,122,275,233,157,344,223,150,333,193,128,292,156,117,208
06/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",194,131,287,149,117,190,204,133,313,195,137,277,198,129,304,151,107,214
06/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",280,136,573,934,747,1166,1931,1418,2630,690,349,1365,442,180,1083,246,129,467
06/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",275,138,546,795,536,1177,2642,1750,3989,551,283,1075,490,205,1172,247,132,462
06/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",621,275,1400,,,,1129,660,1929,822,572,1182,219,139,344,229,127,414
06/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2200, Paraiso, Makati, Metro Manila",1091,520,2289,574,371,887,2886,1622,5134,1008,693,1465,851,314,2307,212,128,350
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
