Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",1265,826,1935,1044,786,1386,1890,1313,2721,1260,892,1779,822,657,1029,802,428,1504
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",954,599,1516,1137,769,1683,1206,752,1934,1018,780,1329,502,390,645,599,416,862
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",746,520,1068,,,,829,651,1056,738,568,959,670,409,1097,743,441,1250
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",909,605,1366,915,769,1089,1003,726,1385,993,666,1482,691,454,1052,566,329,972
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",1055,734,1516,,,,1252,868,1805,1109,780,1578,741,540,1017,483,315,740
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",1127,717,1772,,,,1190,907,1560,1461,1034,2064,759,510,1131,630,363,1091
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",1243,882,1751,1117,864,1445,1296,1007,1668,1264,877,1822,1121,714,1759,520,336,803
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",587,410,838,1010,901,1132,1172,900,1525,1231,863,1757,843,537,1322,559,394,793
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",470,317,695,,,,1105,825,1479,1180,916,1519,732,489,1094,467,310,704
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",389,309,489,651,458,926,611,475,785,534,412,690,436,330,575,400,313,511
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",526,339,816,,,,1029,742,1427,978,718,1331,784,559,1099,499,323,772
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",1053,704,1575,1114,863,1438,1005,814,1241,1238,809,1894,722,526,992,596,372,955
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",916,599,1401,1013,613,1674,1155,954,1399,944,704,1265,612,401,935,460,332,639
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",456,323,643,,,,369,347,392,431,316,587,422,323,550,476,309,734
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2300 Marconi, Makati, Metro Manila",363,233,566,,,,,,,,,,373,201,693,328,257,418
