Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",222,110,449,286,140,583,589,293,1185,255,115,567,254,126,512,228,108,481
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",181,101,325,225,114,445,181,104,314,199,102,386,155,96,249,158,100,251
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",158,96,258,138,90,211,163,96,277,164,98,274,151,97,235,148,96,228
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",187,104,336,226,136,373,173,101,295,174,98,310,162,98,269,162,97,270
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",210,105,420,250,138,453,217,105,446,214,102,450,155,94,257,158,98,256
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",213,106,427,225,119,425,225,109,468,236,109,513,161,96,272,172,102,289
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",235,110,502,183,113,295,272,121,614,236,107,518,192,101,363,177,103,303
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",205,103,405,339,166,694,288,127,654,271,114,644,188,100,353,208,101,426
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",159,96,262,181,102,320,204,101,412,222,102,482,155,97,247,155,95,252
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",142,90,221,137,100,186,136,89,207,146,89,239,139,92,210,124,93,164
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",197,105,369,318,156,649,191,104,350,178,98,320,171,99,296,155,94,257
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",172,103,289,191,119,305,178,104,307,260,113,598,172,101,293,169,100,283
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",170,96,298,164,98,274,189,103,349,173,93,320,152,97,236,156,99,246
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",143,88,230,176,104,296,132,75,232,129,88,189,157,98,253,137,93,203
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","3900 Gen Malvar Street, Makati",134,89,200,194,107,352,150,92,245,118,79,176,139,89,219,125,88,179
