Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1707,1133,2570,,,,2781,1994,3877,1490,1120,1982,1208,939,1554,923,517,1648
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1085,598,1969,1417,960,2092,1472,923,2348,1691,1171,2440,569,437,742,798,528,1206
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",850,567,1274,629,406,975,936,760,1152,898,690,1168,773,438,1366,830,569,1211
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",731,406,1316,1044,958,1136,1227,880,1712,1313,874,1971,746,489,1138,724,400,1310
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1199,795,1809,1203,980,1477,1661,1312,2101,1181,784,1780,877,569,1349,493,347,702
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1311,826,2080,,,,1562,1128,2163,1582,1116,2242,836,549,1274,731,439,1215
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",631,395,1009,,,,1812,1430,2296,1374,991,1903,982,614,1569,565,369,865
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",721,480,1083,,,,1662,1433,1926,1572,1110,2227,904,566,1444,637,439,925
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1146,737,1780,1201,784,1839,1301,1027,1647,1427,1099,1853,816,530,1256,545,369,805
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",453,358,573,707,510,979,691,537,890,599,444,807,476,370,613,468,363,602
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",579,372,901,1219,1032,1440,1358,982,1880,1237,882,1734,1027,655,1610,540,354,823
