Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",1892,1004,3562,1746,1340,2274,3636,2792,4735,2209,1526,3197,1194,653,2186,474,349,644
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",963,564,1642,607,449,820,1848,1565,2180,1174,783,1761,626,447,876,521,363,748
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",672,475,950,427,339,539,905,724,1131,613,472,796,669,476,942,392,312,492
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",564,357,892,1692,1496,1914,1680,1263,2235,919,598,1410,778,431,1402,535,350,817
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",805,498,1299,1841,1541,2198,891,517,1534,885,625,1254,564,396,803,527,347,800
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",1469,914,2360,1131,964,1326,2797,2098,3730,1466,1195,1799,982,631,1530,527,357,778
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",463,328,652,3158,2407,4145,2842,2427,3327,2066,1673,2551,1180,667,2088,439,327,591
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",1951,1332,2859,1772,1430,2194,3896,2784,5452,1709,1346,2169,1805,1199,2717,546,368,811
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",477,347,657,656,484,888,1749,1132,2703,1501,942,2393,494,407,600,480,347,664
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","8000 Bernardino, Makati, Kalakhang Maynila",423,319,561,400,341,468,542,435,674,528,433,644,495,386,635,422,321,556
