Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,2608,2103,3233,1842,1406,2414,,,,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1199,931,1545,,,,1326,1065,1650,1197,930,1539,,,,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,972,829,1140,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1419,1048,1919,,,,,,,,,,,,,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,1354,1178,1556,1496,1155,1938,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,2089,1696,2573,1485,1284,1717,,,,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",2022,1333,3068,,,,2092,1440,3037,2185,1372,3480,1757,1205,2561,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1646,1222,2216,,,,2150,1606,2877,1622,1196,2201,1450,1180,1783,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1380,991,1922,,,,1764,1347,2310,1403,1052,1870,1110,848,1452,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,783,720,851,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1590,1222,2068,,,,,,,,,,,,,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1530,1159,2020,,,,1547,1166,2052,1566,1094,2242,1499,1222,1838,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",798,633,1005,,,,,,,,,,,,,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1722,1140,2601,,,,,,,,,,1635,1035,2582,,,
