Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",706,439,1135,994,764,1293,,,,1097,560,2148,734,416,1294,706,439,1135
03/31/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",811,426,1544,,,,,,,1036,522,2058,669,359,1246,462,338,633
04/01/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",582,407,832,,,,,,,,,,576,456,728,395,287,543
04/02/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",740,510,1074,637,537,755,,,,770,520,1142,698,481,1014,,,
04/03/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",,,,1042,510,2128,,,,789,491,1269,1280,667,2456,,,
04/04/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",,,,,,,701,374,1315,738,448,1216,974,678,1397,,,
04/05/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",936,534,1642,,,,1430,720,2841,718,502,1026,771,461,1289,447,351,570
04/06/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",882,463,1679,,,,1095,554,2164,883,417,1869,687,461,1024,493,357,682
04/07/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",496,399,615,,,,,,,686,514,916,538,361,801,496,399,615
04/08/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",631,464,858,,,,,,,575,510,648,575,419,787,471,279,793
04/09/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",595,377,941,,,,,,,837,479,1462,1155,731,1824,,,
04/10/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",558,399,780,,,,746,362,1538,1041,663,1633,1013,659,1557,538,385,752
04/11/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",411,310,544,,,,,,,1096,717,1675,,,,411,310,544
04/12/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",438,263,729,,,,,,,,,,,,,505,341,749
04/13/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",416,333,519,,,,,,,,,,,,,,,
04/14/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",384,232,636,,,,,,,,,,,,,329,213,507
04/15/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",,,,,,,,,,362,229,572,,,,,,
04/16/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",723,468,1116,604,412,884,1098,893,1349,607,447,823,757,460,1246,,,
04/17/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",786,529,1169,,,,810,501,1308,884,607,1288,716,487,1051,492,348,697
04/18/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1166,640,2122,,,,929,639,1350,1660,849,3244,989,592,1653,490,399,602
04/19/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",958,506,1812,,,,824,545,1244,974,520,1824,1004,510,1974,489,429,557
04/20/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",442,397,492,,,,,,,519,349,771,887,647,1216,442,397,492
04/21/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",547,343,871,981,617,1558,808,567,1153,,,,711,599,843,547,343,871
04/22/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",409,340,493,,,,863,460,1617,562,329,957,476,307,739,420,362,489
04/23/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",818,496,1347,585,482,709,674,408,1111,856,497,1473,1017,703,1471,490,420,570
04/24/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",469,301,729,,,,1841,1355,2500,1077,452,2565,886,525,1493,393,271,569
04/25/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",534,430,664,,,,1827,889,3753,1408,652,3043,1360,840,2201,502,427,589
