Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",493,340,716,,,,3077,2328,4065,1658,1214,2266,1005,566,1785,475,334,676
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",818,516,1297,481,414,560,1246,832,1866,932,710,1223,613,408,921,502,333,758
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",588,451,768,,,,702,622,792,613,479,785,542,425,692,372,321,430
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",890,532,1488,,,,1266,888,1807,791,542,1154,570,359,904,517,326,819
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",513,350,751,1415,1198,1671,693,466,1029,780,515,1180,511,386,675,513,350,751
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",1243,713,2166,,,,2120,1647,2728,1265,956,1674,788,471,1319,713,393,1295
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",539,353,822,2172,1717,2747,2544,1998,3239,1661,1324,2082,746,446,1248,539,353,822
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",1636,1048,2551,1485,1086,2030,2957,2234,3914,1536,996,2367,1376,983,1926,364,324,408
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",443,352,556,527,454,612,1079,699,1666,1469,941,2293,533,406,698,440,349,555
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",519,404,667,424,354,508,603,429,846,516,424,628,467,419,520,389,327,463
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",618,374,1022,1265,953,1678,2274,1462,3535,693,497,966,915,460,1818,606,364,1011
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",451,332,613,878,797,968,2939,2060,4194,1140,857,1518,870,475,1592,417,332,524
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",1731,1033,2901,,,,2465,1753,3468,1524,1003,2314,1877,1225,2876,386,336,443
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",468,333,657,,,,388,337,447,412,314,540,574,378,870,487,343,690
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",435,298,637,,,,476,330,685,334,310,358,530,307,915,432,304,612
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",368,282,479,,,,451,349,584,454,346,596,431,358,520,377,288,493
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",566,431,743,429,316,582,561,486,646,590,459,759,576,424,783,373,322,431
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",507,342,753,,,,1272,703,2300,659,478,907,917,452,1860,461,334,636
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",523,347,789,1622,1304,2018,2018,1456,2795,1230,1010,1498,919,479,1765,523,347,789
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Estrella, Makati, Metro Manila",1438,908,2277,,,,3032,2341,3928,1206,915,1589,1215,752,1964,475,324,697
