Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",554,397,772,,,,4042,3225,5065,2366,1706,3283,1492,838,2658,528,395,706
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",1105,659,1854,686,511,920,2099,1791,2460,1339,931,1925,722,523,997,596,407,873
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",433,350,535,410,342,491,1063,879,1285,684,524,894,791,566,1106,435,351,539
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",1147,657,2003,1862,1633,2125,1997,1441,2769,1045,703,1553,876,493,1556,587,391,882
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",589,391,886,2013,1710,2370,998,638,1560,1010,739,1381,677,484,947,579,388,862
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",606,406,906,1888,1527,2334,3035,2291,4019,1613,1336,1947,1160,760,1769,578,399,839
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",2243,1368,3679,,,,3119,2666,3649,2265,1820,2819,1348,799,2275,489,370,648
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",2142,1489,3080,1885,1565,2271,4110,3077,5490,1880,1498,2358,1988,1370,2885,615,414,913
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",531,392,719,708,536,935,1934,1303,2871,1602,1058,2427,565,463,689,534,392,727
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",472,361,617,443,382,514,636,514,788,603,492,738,556,433,715,471,362,611
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",599,391,916,,,,3414,2326,5011,951,710,1273,1250,636,2456,580,384,877
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",1637,922,2905,,,,3212,2554,4040,1590,1141,2217,1208,635,2298,523,389,703
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",1919,1005,3663,755,637,896,3542,2711,4627,1737,992,3041,2717,2040,3619,489,378,632
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",569,393,824,452,377,541,486,385,613,533,375,758,523,418,654,580,399,843
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",416,331,521,377,347,409,422,354,502,454,327,632,468,365,599,419,332,530
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",541,392,746,452,345,593,673,467,972,554,408,753,498,380,653,414,321,535
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Forum Robinsons, Pioneer St, Mandaluyong, Metro Manila",637,479,848,432,335,557,750,615,914,647,503,833,637,471,861,409,332,504
