Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1135,814,1582,,,,5960,5049,7036,3613,2701,4833,3001,2328,3869,1108,800,1534
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",2205,1491,3261,1588,1199,2105,3257,2859,3711,2626,2023,3410,1631,1211,2198,1205,887,1636
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",912,737,1127,799,690,924,2000,1730,2312,1317,1020,1700,1647,1291,2101,922,745,1142
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1015,745,1383,,,,3619,2813,4655,2111,1638,2719,1509,932,2443,981,741,1298
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1986,1448,2726,,,,2088,1683,2589,2187,1783,2682,1661,1203,2293,975,745,1275
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1110,804,1532,,,,4697,4097,5383,2520,2232,2844,1998,1363,2929,1094,799,1498
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",3350,2307,4863,,,,4806,4254,5428,3297,2837,3833,2216,1538,3195,924,750,1140
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",3251,2348,4501,2665,2371,2995,6376,5256,7733,2960,2482,3531,2977,2125,4170,1433,912,2253
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",2473,1500,4079,1010,846,1206,3704,2961,4633,3252,2288,4624,1359,1118,1652,991,801,1225
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1260,960,1653,864,789,945,1606,1388,1858,1284,1018,1620,1115,901,1379,847,738,972
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1018,764,1356,1964,1633,2361,,,,1869,1425,2449,2521,1393,4562,1018,764,1356
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",998,791,1259,,,,5294,4545,6167,2484,1888,3270,2288,1579,3315,962,790,1172
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",3406,2135,5434,,,,,,,3521,2513,4933,4351,3066,6175,994,791,1250
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1013,794,1293,1170,957,1430,872,785,969,1093,808,1478,969,810,1160,2000,1566,2553
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",830,667,1033,763,714,815,,,,775,680,884,874,760,1006,844,674,1056
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1280,898,1824,788,725,857,1825,1457,2287,1503,1049,2155,1190,954,1484,869,663,1140
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1252,945,1658,863,722,1033,1499,1312,1712,1382,1066,1791,1097,914,1316,774,674,889
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",2320,1513,3557,,,,4478,2985,6719,1790,1455,2201,2476,1350,4541,1133,794,1617
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",2880,1997,4153,2376,2118,2664,4562,3484,5972,2612,2232,3058,2179,1385,3428,986,744,1306
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Gateway Mall, Araneta Center Cubao, Quezon City, 1109 Aurora Blvd, Project 3, Quezon City, Metro Manila",1090,733,1621,,,,5337,4349,6550,2493,1953,3182,2685,1707,4223,1077,727,1595
