Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",1142,683,1908,947,613,1463,1640,1204,2233,955,602,1515,1074,614,1880,393,290,533
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",603,395,919,629,382,1037,650,421,1003,573,386,850,570,379,858,416,276,627
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",523,318,858,510,342,761,447,327,611,482,338,689,467,349,626,540,326,895
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",468,302,724,,,,644,432,959,723,432,1211,521,363,746,425,285,634
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",583,339,1001,763,635,917,694,493,976,650,416,1016,486,351,673,547,316,948
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",799,501,1274,517,421,635,989,669,1461,774,484,1237,588,407,849,438,293,655
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",460,324,653,579,449,746,833,569,1219,783,521,1178,626,428,917,372,280,494
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",915,561,1491,1031,658,1616,1052,740,1496,914,541,1546,749,475,1181,523,310,884
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",354,261,480,,,,737,490,1109,614,384,981,524,329,832,346,253,474
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",364,244,543,,,,572,365,896,466,345,630,486,323,732,362,240,546
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",712,444,1142,1000,640,1561,633,435,921,699,437,1117,606,384,956,444,283,696
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",548,360,833,672,503,897,745,547,1015,763,483,1206,597,376,947,509,333,777
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",620,414,929,713,435,1168,625,463,843,596,394,901,625,416,939,421,279,636
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",482,338,689,443,314,626,549,362,832,435,346,548,491,331,726,410,288,583
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",436,320,594,,,,396,314,499,411,302,561,472,340,654,373,271,514
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",352,277,448,398,344,461,399,310,512,446,319,625,507,317,811,352,273,453
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",424,303,594,,,,466,308,705,417,303,573,396,292,537,362,268,489
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",612,392,955,759,470,1227,678,446,1032,557,369,841,584,373,914,446,279,715
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",772,489,1218,1019,759,1369,834,532,1307,731,463,1152,688,445,1064,430,274,676
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",701,406,1211,,,,1252,957,1639,812,467,1411,901,446,1816,631,374,1065
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",508,312,826,717,481,1067,1331,941,1883,687,445,1060,928,556,1549,445,284,698
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",496,333,738,608,455,812,2000,1371,2917,1086,665,1773,1056,604,1847,439,297,649
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",409,296,566,435,311,607,563,405,781,510,355,732,607,367,1004,408,293,567
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",385,251,592,,,,450,320,632,518,354,758,528,372,748,393,253,610
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",979,570,1683,1665,1271,2180,723,481,1088,1200,687,2093,669,470,953,462,319,667
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",504,332,766,786,580,1063,2080,1559,2774,1163,814,1661,1194,552,2582,410,300,561
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",1538,941,2514,714,475,1073,2273,1573,3284,1289,867,1915,1257,687,2300,481,290,799
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",580,366,917,816,637,1044,1062,649,1738,964,637,1460,1059,518,2165,465,312,692
04/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",520,356,759,443,290,677,570,388,837,529,361,775,494,356,686,476,323,703
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",410,285,592,,,,555,362,851,536,337,852,699,337,1450,410,281,599
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",465,347,625,582,337,1007,533,335,847,600,381,944,444,320,614,434,332,569
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",473,333,670,530,348,809,503,375,673,446,309,643,472,337,662,458,271,771
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",547,333,898,926,631,1358,947,552,1624,875,537,1426,629,418,947,435,298,636
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Greenbelt Mall, Legazpi Street, Makati, Kalakhang Maynila",1127,708,1795,803,612,1052,1404,1068,1844,1099,736,1642,970,526,1788,467,288,758
