Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",,,,,,,4495,3927,5145,2989,2128,4196,1676,941,2985,,,
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1472,938,2310,,,,2417,1962,2978,1581,1291,1937,976,705,1351,,,
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",459,417,505,,,,1212,937,1567,887,708,1112,1010,712,1432,465,418,517
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1456,911,2325,,,,,,,1252,865,1813,1203,725,1995,749,498,1127
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1185,702,2000,,,,1594,776,3274,1192,853,1665,783,595,1032,840,516,1365
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",,,,,,,,,,1890,1478,2416,1330,948,1865,,,
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",2589,1643,4080,3483,2883,4208,3223,3021,3438,2565,1958,3358,1769,1018,3074,573,446,737
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",2115,1455,3074,1925,1731,2140,4092,3414,4904,1954,1611,2371,1684,1259,2253,684,483,970
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1723,951,3122,,,,2338,1527,3578,1921,1138,3242,742,581,948,764,526,1110
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",664,535,824,,,,708,647,775,616,531,714,680,501,923,571,470,694
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",,,,,,,3603,2418,5367,1083,778,1509,1349,735,2477,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1923,1110,3332,,,,3717,2771,4985,1730,1360,2202,1464,819,2617,594,470,750
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",2477,1540,3981,,,,3492,2709,4501,1839,1241,2725,2605,1948,3482,656,470,916
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",825,585,1165,,,,,,,,,,,,,809,573,1144
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",489,434,550,,,,,,,,,,,,,493,435,560
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",569,389,832,,,,,,,759,585,985,651,438,967,585,392,871
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",751,568,992,,,,,,,745,618,899,751,576,980,491,459,526
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",1630,873,3043,1865,1145,3038,2755,1919,3955,876,651,1179,1567,843,2910,568,437,739
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",2232,1446,3444,2040,1749,2378,3418,2789,4189,1974,1663,2343,1816,1076,3064,,,
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",2550,1522,4274,,,,4536,3204,6421,1885,1469,2417,1817,1132,2917,814,562,1179
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Guadalupe Bliss Building 18, Jasmin, Makati, Kalakhang Maynila",753,502,1127,,,,4820,4501,5162,2111,1601,2783,1935,1195,3133,730,487,1095
