Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",201,154,263,222,177,278,447,304,657,291,195,436,417,258,672,201,152,266
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",295,203,429,228,176,294,333,230,481,309,212,450,267,185,383,200,152,264
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",194,148,255,193,146,255,252,178,357,234,172,320,241,164,352,192,148,250
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",272,187,397,202,140,293,301,194,469,249,185,336,303,202,455,200,141,283
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",400,236,677,220,161,301,492,315,769,295,199,437,524,291,941,204,144,290
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",206,148,288,250,190,328,354,217,577,307,208,453,339,221,519,208,145,297
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",196,154,249,249,188,328,387,245,611,276,196,388,339,218,527,192,153,241
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",344,220,538,246,193,314,446,299,664,320,211,487,333,204,542,190,152,237
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",305,204,455,191,141,259,434,268,704,277,201,382,260,196,345,198,153,255
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Newport Mall, Newport Boulevard, Newport City, Pasay, Metro Manila",189,147,244,173,149,202,253,176,363,230,176,301,231,153,347,192,147,250
