Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",537,414,696,,,,943,744,1195,822,498,1356,861,610,1216,554,422,726
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",738,513,1060,,,,882,574,1354,685,506,926,715,484,1055,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",646,438,953,,,,602,456,793,685,436,1076,676,459,994,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",,,,,,,678,496,926,684,487,960,713,477,1066,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",883,601,1298,,,,993,725,1360,736,509,1062,919,615,1373,771,482,1234
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",731,501,1066,,,,800,519,1232,660,490,887,757,509,1125,814,464,1427
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",,,,,,,729,528,1007,560,474,662,601,474,761,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",797,545,1166,,,,948,681,1321,712,481,1056,803,575,1121,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",734,533,1011,,,,705,568,876,627,494,796,828,557,1231,712,427,1187
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",,,,,,,566,452,709,555,440,699,596,459,773,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",646,460,907,,,,592,470,747,626,452,867,654,466,919,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",705,489,1018,,,,668,542,823,662,485,903,726,471,1118,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",,,,,,,711,533,948,661,508,861,830,551,1249,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Pearl Plaza Cinema, Quirino Avenue Tambo, Paranaque City, Metro Manila",648,479,875,811,510,1290,649,487,863,651,482,878,596,470,756,621,436,884
