Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",2921,2195,3888,,,,3975,3234,4886,2847,2305,3516,2566,1960,3360,859,613,1204
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1473,1100,1974,1295,1142,1467,1514,1132,2024,1801,1297,2502,1156,967,1383,1038,740,1454
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1403,1088,1809,,,,1706,1473,1976,1376,1176,1609,1287,994,1666,1007,770,1318
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1560,1156,2106,,,,,,,1573,1228,2014,1175,871,1584,1301,911,1858
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1059,707,1585,,,,2504,2274,2757,2265,1992,2575,1325,1139,1542,1059,707,1585
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1155,854,1562,2024,1867,2193,,,,2215,1563,3139,1776,1382,2283,1100,811,1491
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",2115,1642,2724,,,,2394,2093,2737,2186,1844,2592,1581,1180,2119,1121,757,1661
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",1919,1272,2895,,,,2565,1997,3294,2114,1842,2426,1477,944,2309,992,786,1252
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",854,688,1060,,,,2616,1998,3426,1968,1554,2493,1591,1078,2347,850,683,1057
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Place Manila, Pedro Gil St, Ermita, Manila, Metro Manila",758,665,863,,,,1347,1213,1495,1092,927,1286,1129,955,1333,758,665,863
