Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",3196,2579,3961,,,,,,,,,,2782,,,,,
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",2040,1562,2663,1971,1791,2170,,,,2522,2036,3124,1451,,,,,
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1743,1383,2197,,,,2030,1749,2356,1673,1406,1989,1566,,,,,
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1419,1027,1960,,,,,,,,,,1640,,,,,
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",2589,1934,3467,,,,,,,2931,2442,3518,1885,1471,2414,1308,943,1814
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",2117,1528,2933,,,,,,,,,,1779,1422,2225,1474,1191,1823
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1382,984,1940,,,,3448,2805,4237,2862,2211,3704,1753,1392,2206,1382,984,1940
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1365,1049,1775,,,,,,,2898,2425,3462,1613,1169,2225,1240,1009,1524
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1177,948,1462,,,,,,,2428,2000,2947,1569,1321,1863,1174,942,1461
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1090,918,1295,,,,,,,1330,1097,1613,,,,1090,918,1295
04/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1904,1369,2648,,,,,,,2262,1885,2715,1637,1181,2271,,,
04/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",2058,1609,2631,,,,,,,2416,2278,2562,1840,1424,2378,1260,887,1788
04/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",2132,1513,3003,,,,3029,2388,3842,2321,1937,2780,1646,1249,2169,1197,957,1497
04/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1117,931,1340,,,,,,,1150,945,1400,,,,1138,940,1378
04/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1108,983,1250,,,,,,,,,,1049,940,1172,,,
04/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1497,1135,1973,,,,1511,1266,1805,1437,1141,1809,,,,,,
04/16/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM City Manila, Natividad Almeda-Lopez corner A. Villegas and San Marcelino Street, Ermita, Manila, Metro Manila",1970,1427,2719,,,,,,,2245,1818,2772,1476,1143,1907,,,
