Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",697,509,954,2207,1792,2718,4754,3745,6036,2662,1936,3660,1902,1249,2896,681,505,919
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",1418,884,2275,884,661,1183,2625,2226,3095,1707,1254,2324,997,736,1351,746,541,1029
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",561,455,692,588,487,709,1479,1300,1683,895,664,1207,1086,785,1504,563,455,697
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",721,496,1048,,,,2626,1905,3620,1353,969,1890,1127,656,1937,692,489,979
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",1291,886,1882,,,,1528,1032,2262,1316,1022,1695,1018,722,1436,712,487,1042
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",739,517,1056,1365,1162,1604,3637,2786,4749,1952,1661,2294,1429,962,2122,711,510,993
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",685,483,971,4333,3553,5283,3819,3303,4414,2683,2185,3296,1706,1095,2660,623,484,803
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",912,567,1467,2254,1884,2696,5356,4278,6706,2297,1875,2815,2384,1577,3604,893,560,1425
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",673,507,893,651,521,813,2441,1773,3360,2081,1397,3099,799,651,981,676,506,902
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",792,613,1023,648,470,893,939,796,1109,836,665,1052,701,562,874,573,474,692
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",687,486,971,,,,3978,2908,5441,1309,963,1780,1688,915,3113,663,479,917
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",2019,1207,3379,,,,3910,3211,4759,1936,1428,2624,1455,832,2543,678,508,905
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",649,502,837,914,762,1095,4664,3819,5695,2227,1381,3593,3646,2624,5067,616,491,772
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",642,494,832,,,,582,488,694,657,479,900,667,525,846,753,516,1099
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",536,425,676,491,436,553,535,444,645,568,428,755,576,478,693,540,425,688
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",514,412,640,506,456,562,1154,886,1502,961,647,1426,679,533,866,515,408,649
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Shangri-La Plaza, Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila",836,620,1128,538,423,683,1047,854,1284,868,670,1124,765,588,996,507,426,603
