Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",1083,621,1891,911,529,1568,1524,1092,2127,899,536,1508,969,548,1715,413,290,587
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",543,356,829,,,,662,454,964,562,387,816,330,242,449,317,251,401
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",445,317,624,,,,463,341,629,476,329,689,377,287,494,622,334,1158
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",490,338,710,1066,762,1493,746,561,991,670,411,1089,393,300,514,440,316,614
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",462,305,701,726,525,1003,803,489,1318,630,407,973,348,289,420,386,293,507
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",708,462,1085,863,632,1180,643,437,946,720,458,1131,561,379,830,446,313,634
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",545,358,829,806,482,1347,848,582,1235,754,465,1222,547,414,723,517,327,817
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",510,315,824,1071,735,1561,1033,715,1491,771,445,1338,763,430,1355,,,
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",620,372,1033,,,,940,589,1500,650,404,1045,465,312,693,448,319,629
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",316,215,463,,,,,,,482,333,698,577,378,880,321,214,482
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",807,455,1432,1026,803,1309,562,398,793,975,494,1923,680,389,1190,476,283,799
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",556,383,806,803,534,1209,754,610,931,779,488,1244,582,380,890,493,333,729
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",519,332,812,,,,668,486,917,636,413,980,554,257,1192,504,303,840
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",490,333,720,,,,559,423,740,455,329,627,531,304,925,,,
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",378,271,527,,,,,,,327,272,393,464,315,681,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",,,,,,,322,263,394,409,280,598,526,303,911,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",387,282,529,,,,464,274,786,356,286,443,365,316,422,,,
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",532,356,793,852,573,1265,564,379,840,557,381,814,596,366,969,478,316,724
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",557,358,868,,,,696,464,1044,704,458,1081,548,391,768,515,333,795
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tampingco, Makati, Kalakhang Maynila",667,398,1118,,,,1073,774,1488,872,458,1658,835,440,1587,606,363,1009
