Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",1439,1013,2044,,,,,,,3880,3127,4814,3074,2195,4303,1439,1013,2044
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",2517,1759,3600,,,,3181,2710,3734,3077,2671,3544,1798,1353,2389,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,,,,2144,1712,2685,1677,1383,2033,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,,,,2290,2011,2608,1656,1241,2209,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,,,,2204,1904,2550,,,,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,4515,3319,6143,2709,2495,2941,2583,2422,2755,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,,,,3647,2492,5337,2235,1683,2969,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",2981,2023,4393,,,,,,,2973,2277,3882,2271,1815,2840,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,2797,2384,3281,,,,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Tomas Arguelles, Quezon City, Metro Manila",,,,,,,1915,1526,2402,1338,1123,1594,1252,1142,1372,,,
