Date,Day ,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",1149,646,2042,,,,1807,1382,2362,1084,674,1744,841,463,1529,424,262,684
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",533,343,827,431,378,492,628,466,848,631,372,1068,385,284,522,353,240,520
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",297,237,372,,,,406,330,499,366,272,492,381,278,520,299,235,380
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",409,245,683,1502,1291,1749,682,511,911,490,314,763,456,294,707,369,236,576
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",892,537,1482,490,382,627,1367,925,2021,760,499,1158,926,478,1794,395,263,593
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",889,491,1609,,,,1342,924,1949,905,638,1284,646,351,1190,416,256,677
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",783,511,1200,418,344,508,902,738,1102,821,585,1154,523,320,855,308,238,398
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",818,517,1293,619,515,745,1317,936,1853,815,620,1071,508,380,680,324,229,458
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",328,236,456,432,359,520,749,558,1007,618,393,973,349,280,434,317,229,439
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",329,260,415,347,236,511,363,292,450,302,258,354,336,257,440,321,235,439
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",579,361,929,389,353,429,741,483,1135,414,307,559,633,385,1039,396,244,643
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",356,259,488,880,707,1095,823,651,1041,531,365,773,601,365,991,344,246,479
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",677,431,1063,776,532,1132,1060,843,1332,598,436,822,497,319,771,381,248,584
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",302,235,387,310,211,455,301,239,378,282,218,363,314,245,403,335,223,504
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",330,209,520,,,,542,267,1099,325,199,530,279,218,357,271,189,388
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",363,241,548,,,,359,261,495,290,232,363,352,235,527,334,205,543
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",378,252,566,,,,385,284,523,368,245,553,377,253,560,288,215,385
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",506,336,762,547,371,805,703,479,1029,447,316,632,483,321,725,454,257,802
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",358,258,498,,,,864,553,1349,472,350,636,724,421,1245,346,254,471
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",1000,597,1675,600,556,646,1184,746,1880,728,487,1088,1414,862,2318,352,242,510
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",439,301,639,702,540,911,942,670,1324,556,418,739,785,510,1207,407,290,571
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",404,276,591,887,507,1553,1581,1173,2130,849,614,1176,945,579,1541,398,271,582
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",527,353,787,654,410,1044,626,431,911,496,358,686,451,292,696,301,236,383
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",397,284,555,303,246,374,490,360,667,355,273,460,409,277,603,331,238,460
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",696,437,1107,639,515,792,886,636,1234,517,373,717,739,423,1292,459,278,757
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",363,238,556,1064,912,1240,1787,1332,2397,1202,770,1877,961,545,1696,328,234,459
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",445,268,740,1246,1001,1550,2130,1493,3038,1219,777,1913,1657,1057,2596,422,258,690
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",1174,741,1861,698,670,727,1391,1003,1929,1165,892,1522,1056,522,2136,426,286,634
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",370,283,485,,,,423,348,513,358,267,479,342,272,430,365,246,540
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",426,296,611,452,314,651,469,365,602,448,300,671,357,267,477,325,233,453
04/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",332,220,500,,,,393,287,538,304,255,363,403,259,628,329,218,497
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",359,264,489,,,,409,300,558,331,240,457,359,273,470,298,220,404
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",445,289,685,614,518,728,1802,1143,2839,548,366,818,969,575,1634,398,263,603
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",443,273,718,1330,1056,1675,1341,981,1832,993,772,1277,548,335,893,393,257,600
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",887,519,1517,1358,1126,1638,1211,715,2052,822,606,1115,668,392,1139,355,249,504
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",419,275,639,534,383,746,1522,1228,1887,802,529,1215,952,501,1808,400,264,606
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",495,337,727,378,330,434,698,457,1065,530,369,760,389,291,520,359,266,483
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",337,220,516,308,258,368,471,332,667,387,264,568,460,292,723,298,221,403
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",494,283,864,1171,808,1695,561,410,767,432,296,630,616,349,1086,488,280,852
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",410,265,632,,,,955,644,1418,868,643,1171,758,431,1333,389,260,582
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",442,300,649,889,744,1063,1119,766,1634,1054,841,1322,1339,790,2269,413,287,596
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",454,273,753,1862,1648,2104,954,573,1587,841,544,1300,687,375,1257,359,254,509
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",1216,734,2013,1097,844,1425,1659,1185,2322,1008,710,1432,982,543,1774,352,251,494
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",493,358,680,469,350,628,614,474,795,529,409,685,369,294,464,427,253,720
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",282,239,333,,,,495,343,713,421,285,623,504,282,900,282,238,334
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",422,261,681,,,,1152,765,1734,435,312,607,679,350,1317,394,251,617
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",393,260,592,2357,1769,3139,1131,979,1306,1001,805,1244,893,516,1545,384,258,570
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",371,263,525,,,,1373,1124,1676,735,461,1170,952,543,1667,344,260,454
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",375,254,552,940,707,1251,823,561,1208,427,318,572,480,312,739,345,248,482
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1100 Tamarind Rd, Makati, Metro Manila",756,428,1334,1273,997,1626,1222,903,1654,611,383,974,582,344,985,346,252,475
