Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",1722,1149,2580,,,,2645,1919,3645,1651,1214,2246,1284,939,1756,842,467,1517
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",1015,590,1746,1189,891,1587,1429,1061,1923,1576,1076,2309,607,448,824,747,578,964
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",953,727,1250,,,,1156,922,1449,997,747,1331,739,493,1108,953,727,1250
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",1215,779,1895,1265,1097,1460,1300,967,1747,1443,1006,2069,775,516,1162,819,521,1288
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",1314,856,2017,1489,1151,1926,1737,1456,2071,1307,859,1990,941,606,1459,676,475,962
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",754,507,1122,,,,1454,1163,1817,1538,1112,2127,800,488,1313,698,473,1031
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",679,446,1033,,,,1819,1508,2194,1600,1123,2280,844,462,1542,636,427,947
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",749,453,1237,1379,1192,1596,1852,1373,2498,1511,1119,2040,901,545,1488,618,392,972
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",684,427,1094,,,,1487,1112,1989,1539,1212,1955,631,451,882,692,428,1118
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","800 Boyle Street, Makati, Kalakhang Maynila",678,526,875,,,,737,629,863,699,513,953,603,499,729,559,448,699
