Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",2536,1920,3350,,,,3566,2870,4430,2455,1952,3087,2315,1752,3057,1362,995,1865
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1768,1297,2410,,,,,,,2025,1494,2745,1216,1054,1403,1448,936,2238
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",,,,,,,1573,1387,1785,1324,1087,1613,,,,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1600,1187,2155,,,,,,,1697,1363,2113,1140,915,1421,1208,792,1843
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",2041,1583,2632,2355,1810,3063,,,,2008,1636,2465,1671,1340,2084,1127,761,1667
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1207,913,1597,,,,,,,2533,2135,3005,1700,1239,2331,1062,863,1306
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1261,920,1730,,,,3006,2535,3566,2258,1781,2863,1388,1018,1892,1133,846,1516
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",2085,1524,2851,2214,2010,2439,2389,2202,2592,2298,1776,2973,1507,1096,2071,1024,873,1199
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",943,773,1150,1675,1496,1874,,,,2095,1714,2559,1541,1057,2245,960,784,1177
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1088,858,1380,,,,1251,1017,1538,1055,895,1243,,,,888,712,1107
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1309,854,2005,,,,,,,1845,1517,2243,1488,1229,1802,1286,817,2022
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1075,705,1640,,,,,,,2216,1805,2720,1357,1034,1781,,,
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",1629,1172,2262,,,,2117,1553,2886,1710,1497,1953,1288,945,1757,833,720,963
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Adriatico Street, Manila, Metro Manila",881,695,1117,,,,1007,717,1414,861,712,1041,932,792,1096,906,715,1148
