Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",3267,2409,4429,,,,,,,3679,2755,4914,,,,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",2264,1739,2947,,,,,,,,,,1920,1645,2240,1190,1040,1362
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1769,1392,2247,,,,,,,,,,,,,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1143,923,1416,,,,,,,2357,1985,2798,,,,1143,923,1416
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1406,1072,1845,,,,,,,,,,,,,1406,1072,1845
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",3221,2066,5021,,,,,,,,,,,,,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",3125,1934,5048,,,,,,,,,,2092,1475,2967,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",3333,2418,4593,,,,3925,3398,4533,,,,,,,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1101,903,1342,,,,1787,1364,2342,1389,1276,1512,,,,1124,919,1375
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",2421,1824,3213,,,,,,,,,,,,,1145,981,1337
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1128,930,1367,,,,,,,,,,,,,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1054,908,1223,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",881,811,957,,,,,,,1376,1134,1668,1254,1082,1453,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",1113,865,1432,,,,2824,2592,3077,2144,1776,2587,,,,1005,875,1154
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 Sta. Clara, Sampaloc, Maynila, Kalakhang Maynila",2602,2131,3176,,,,,,,,,,,,,1232,948,1603
