Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",3676,2881,4689,,,,,,,,,,3278,2666,4030,1689,1301,2193
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",2702,1915,3812,,,,,,,,,,,,,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1892,1503,2383,,,,,,,2144,1870,2458,1558,1255,1935,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1303,1031,1648,,,,,,,,,,,,,1303,1031,1648
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1321,1131,1542,,,,,,,,,,,,,1321,1131,1542
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",2518,1908,3322,,,,,,,,,,2237,1910,2620,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1440,1248,1661,,,,,,,,,,,,,1440,1248,1661
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1672,1478,1891,,,,,,,,,,,,,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",,,,,,,,,,,,,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1450,1259,1670,,,,,,,1420,1274,1582,1449,1263,1663,1208,1050,1390
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",2509,2089,3015,,,,,,,,,,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",2972,2113,4180,,,,,,,,,,2376,2026,2787,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",3097,2081,4610,,,,,,,,,,2276,1658,3125,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1366,1167,1598,,,,,,,,,,,,,1366,1167,1598
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",,,,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",,,,,,,,,,1473,1230,1764,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",1225,967,1551,,,,,,,2666,2261,3143,,,,1225,967,1551
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1800 Rizal Ave, Santa Cruz, Manila, Metro Manila",2989,2164,4127,,,,,,,,,,,,,1566,1218,2014
