Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",4918,3848,6285,,,,,,,4787,4198,5459,,,,,,
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",4127,2983,5711,,,,,,,,,,,,,,,
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","200 Kaliraya Rd, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
