Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3205,2275,4516,1934,1353,2762,1705,900,3227,,,
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1217,832,1780,,,,1575,1058,2343,1143,909,1437,836,676,1034,,,
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1018,769,1347,,,,,,,983,728,1327,927,775,1109,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1366,896,2083,,,,1864,1211,2868,1198,869,1652,966,708,1317,,,
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",699,622,786,,,,2097,1436,3062,1356,1045,1759,1176,949,1458,699,622,786
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",773,600,995,,,,,,,1670,1131,2464,1131,882,1451,773,600,995
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,1981,1466,2675,2162,1680,2783,1883,1439,2465,947,820,1094,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2021,1352,3023,,,,2201,1627,2975,1627,1209,2189,2036,1066,3886,853,578,1261
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",712,505,1003,,,,1416,1119,1793,1439,970,2136,,,,695,473,1021
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,903,707,1153,761,633,916,897,717,1123,,,
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,1857,1378,2503,1373,1050,1796,1222,842,1774,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1732,1183,2537,,,,,,,1395,1192,1632,1591,1076,2354,773,603,989
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",627,555,708,,,,1580,1004,2486,1202,919,1572,1549,878,2732,627,555,708
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1061,775,1452,,,,,,,958,799,1148,,,,746,552,1008
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",764,593,983,,,,,,,,,,,,,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",825,592,1150,,,,,,,,,,905,590,1388,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,796,686,923,887,714,1101,,,
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1409,974,2038,,,,1600,1181,2166,1295,923,1816,1314,903,1912,,,
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",761,569,1016,,,,2145,1773,2596,1563,1305,1871,1164,881,1539,761,569,1016
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",976,574,1658,,,,2820,2041,3896,1535,1110,2122,1743,1203,2525,,,
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2154,1398,3320,,,,2860,2396,3414,1664,1164,2378,2028,1277,3220,1280,612,2677
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3118,2381,4083,2292,1739,3022,2051,1530,2749,,,
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1065,793,1430,,,,1141,828,1572,1138,875,1480,990,725,1353,890,733,1082
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",764,604,965,,,,1304,909,1869,818,682,982,819,707,949,772,602,991
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,1687,1327,2143,1589,1225,2062,1611,1113,2332,,,
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2292,1340,3921,,,,3686,2885,4710,2122,1740,2589,1407,821,2411,990,622,1577
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2750,1738,4350,,,,3946,2742,5679,2387,1982,2876,2197,1221,3952,,,
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1754,1142,2693,,,,2156,1584,2934,1537,1298,1821,1622,995,2643,670,556,807
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",955,715,1277,,,,,,,966,803,1162,856,664,1103,,,
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,991,797,1233,1151,808,1640,1019,739,1405,,,
04/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",835,696,1000,,,,,,,864,774,964,,,,,,
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",874,731,1045,,,,881,725,1072,,,,901,829,978,701,574,857
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",831,642,1075,,,,1714,1435,2047,1608,1143,2262,1760,997,3108,831,642,1075
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,2343,1956,2806,1915,1528,2402,1727,1055,2827,,,
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1865,1306,2664,,,,2429,1969,2997,1559,1246,1951,1362,987,1880,,,
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2189,1350,3551,,,,3676,2710,4985,1794,1457,2209,1513,993,2306,,,
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1056,796,1401,,,,958,848,1082,1237,934,1637,,,,871,617,1230
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,814,746,888,967,736,1269,1020,723,1439,,,
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,1878,1314,2684,1441,1123,1848,1384,1134,1689,,,
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1706,1161,2506,,,,2444,1704,3506,1572,1174,2104,1129,852,1495,,,
