Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",205,108,391,486,247,953,559,283,1104,723,461,1135,224,117,430,187,103,339
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",228,125,415,173,105,284,310,154,621,270,153,477,165,104,260,132,90,195
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",194,121,309,132,90,192,264,185,377,174,117,258,193,116,322,114,84,156
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",236,116,481,875,624,1228,155,95,254,252,128,495,162,97,271,225,108,469
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",276,138,552,701,500,983,240,133,433,276,156,487,209,107,406,207,104,408
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",349,162,751,715,547,936,406,213,774,418,234,747,155,97,248,219,110,436
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",498,202,1225,667,505,882,602,266,1361,657,419,1030,185,104,330,162,96,274
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",468,207,1057,661,448,976,885,599,1306,512,273,961,209,112,389,161,96,268
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",139,91,213,133,90,196,409,188,886,443,285,688,149,104,214,140,91,215
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",158,102,244,143,90,228,166,105,261,164,108,248,147,96,225,141,89,223
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",244,123,484,603,432,840,206,109,392,212,120,373,174,98,309,225,105,479
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",198,106,367,401,251,639,391,217,704,360,215,603,190,105,342,172,101,294
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",163,97,274,299,148,601,745,523,1062,385,235,632,208,107,406,138,92,206
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",147,92,236,120,87,164,122,87,170,138,88,217,175,101,304,145,92,227
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",131,84,206,161,90,288,160,89,285,128,80,204,118,85,165,128,83,197
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",151,94,244,107,82,138,160,97,262,145,92,228,155,95,252,138,84,226
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",127,82,195,114,86,150,190,121,297,201,121,331,198,114,344,127,82,197
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",271,122,600,684,572,818,158,95,264,258,147,453,160,100,256,242,115,509
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","2100 Paraiso, Makati, Metro Manila",344,172,686,692,522,918,261,135,504,400,252,633,177,103,306,214,106,432
