Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/03/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",650,298,1416,367,320,421,1153,813,1637,688,370,1281,275,164,459,255,152,429
04/04/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",510,255,1018,273,229,325,636,295,1370,763,467,1248,297,177,499,215,126,369
04/05/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",282,166,480,382,243,599,448,286,702,604,385,948,353,189,660,264,153,455
04/06/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",241,151,385,332,233,473,508,301,856,676,377,1211,263,155,446,238,146,387
04/07/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",186,125,275,370,230,595,425,266,678,589,396,876,256,159,412,180,122,265
04/08/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",212,146,309,151,135,170,228,153,340,212,154,294,190,131,276,224,130,388
04/09/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",265,176,398,323,286,363,293,188,456,268,185,388,194,148,254,243,145,406
04/10/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",217,142,331,430,251,738,331,219,502,528,286,974,259,170,393,189,133,270
04/11/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",337,207,547,313,236,415,344,238,496,353,224,557,319,180,564,184,134,253
04/12/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",250,141,441,382,223,653,342,235,498,307,205,459,370,207,661,245,138,435
