Date,Day,Origin Display Name,,,,,,,,,,,,,,,,,,,
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1991,1243,3188,,,,,,,2226,1749,2832,1222,831,1795,,,
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1105,799,1529,,,,1373,1088,1733,1107,997,1228,717,619,830,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",828,663,1033,,,,,,,858,705,1043,711,582,868,,,
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1267,951,1688,809,610,1074,,,
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,1115,618,2010,1066,825,1377,787,517,1197,,,
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1580,900,2773,,,,,,,,,,866,671,1117,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,2107,1417,3135,1922,1579,2339,,,
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1385,779,2464,,,,1501,989,2277,1957,1087,3520,,,,,,
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",580,515,654,,,,,,,,,,,,,544,460,644
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",971,710,1329,,,,,,,1149,869,1519,,,,,,
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1313,1004,1716,1190,782,1812,,,
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1733,1329,2259,,,,,,,1812,1320,2487,1823,1584,2098,,,
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",633,508,789,,,,,,,,,,,,,,,
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",847,668,1073,,,,,,,,,,872,661,1151,,,
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1748,1033,2959,,,,,,,,,,1488,840,2634,,,
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1873,1053,3329,,,,,,,,,,1798,929,3479,,,
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2016,1121,3627,,,,,,,1791,1262,2542,,,,,,
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2091,1234,3545,,,,,,,2518,2050,3091,1363,877,2117,,,
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,927,723,1189,,,
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",745,587,946,,,,,,,,,,,,,,,
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1991,983,4029,,,,,,,,,,1282,625,2632,,,
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2344,1523,3607,,,,,,,2174,1817,2600,,,,,,
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2367,1473,3804,,,,,,,2115,1748,2558,1940,1193,3153,,,
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2251,1632,3106,,,,2829,2187,3659,1859,1555,2222,2280,1488,3492,,,
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",902,665,1224,,,,,,,969,710,1321,,,,,,
