Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,3266,2581,4132,3086,2237,4256,2281,1526,3407,,,
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1304,958,1776,,,,1605,1270,2029,1254,1039,1512,,,,,,
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,1347,1080,1681,979,816,1174,869,762,990,,,
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1622,940,2796,,,,2458,1761,3431,917,692,1214,1538,887,2666,,,
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1669,1069,2604,,,,1938,1182,3175,1553,1086,2221,1083,873,1342,694,610,791
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1822,1173,2829,,,,2392,2096,2729,2480,1697,3624,1296,937,1791,,,
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,2926,2440,3509,2168,1860,2526,1482,1059,2074,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",884,576,1356,,,,3229,2458,4243,1650,1397,1948,1781,1533,2070,,,
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",680,595,778,,,,1649,1214,2238,2177,1452,3265,1065,726,1562,,,
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",853,680,1069,,,,782,620,986,,,,899,724,1118,,,
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1697,1104,2610,,,,2120,1593,2821,1306,926,1841,1486,928,2380,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,2886,2005,4153,1650,1496,1819,2150,1345,3436,,,
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",2375,1550,3639,,,,2470,1670,3653,2092,1431,3058,2422,1500,3910,,,
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,1319,855,2036,,,,876,704,1090,823,535,1265
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",890,675,1173,,,,,,,,,,,,,748,515,1087
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",954,700,1300,,,,,,,,,,,,,,,
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","A. Bonifacio Street, Makati, Metro Manila",1574,965,2568,,,,2079,1511,2861,969,701,1340,1662,1057,2615,,,
