Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",945,647,1379,,,,1447,839,2495,811,611,1076,879,649,1190,,,
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",795,598,1058,,,,883,702,1110,763,576,1011,727,565,935,760,545,1061
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",724,551,951,,,,697,602,806,811,530,1242,678,603,763,,,
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,785,656,939,798,620,1027,864,646,1155,,,
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",971,632,1492,,,,943,597,1488,708,546,919,1065,704,1612,,,
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",622,541,715,,,,996,786,1262,775,640,939,899,663,1219,622,541,715
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",895,583,1375,,,,1488,824,2688,621,512,753,872,606,1254,580,494,681
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",658,544,795,,,,965,688,1355,805,589,1100,795,603,1049,658,544,795
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",724,591,888,,,,719,571,906,665,563,786,762,632,918,683,536,869
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",669,557,803,,,,649,547,772,643,526,785,692,589,813,709,579,868
04/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",922,638,1332,,,,1109,726,1694,652,544,780,988,728,1340,,,
04/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,869,636,1188,696,518,935,1100,729,1661,,,
04/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",514,473,558,,,,902,621,1309,943,737,1206,840,582,1212,514,473,558
04/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",605,501,730,,,,,,,,,,,,,,,
04/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1029,650,1630,,,,,,,,,,,,,625,536,728
04/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,653,549,777,,,,610,568,656,,,
04/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",619,517,740,,,,,,,698,553,881,698,535,911,,,
04/16/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,941,691,1280,703,605,817,856,607,1207,,,
04/17/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",865,615,1216,,,,748,569,983,741,585,939,990,685,1431,,,
04/18/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1206,828,1758,,,,852,638,1138,1298,922,1828,1410,1041,1911,,,
04/19/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",937,670,1311,,,,888,683,1156,624,536,728,1116,830,1502,,,
04/20/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",882,663,1172,,,,1247,978,1589,676,609,751,905,729,1124,620,542,710
04/21/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",784,623,988,,,,819,654,1025,697,609,796,829,636,1080,744,586,943
04/22/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",747,559,996,,,,702,586,841,816,552,1204,704,614,806,623,519,749
04/23/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",856,637,1149,,,,811,663,992,771,583,1019,977,699,1365,,,
04/24/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1019,716,1450,,,,1377,913,2076,861,634,1171,919,712,1185,,,
04/25/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1379,924,2058,,,,1530,1080,2168,1133,771,1666,1478,1000,2182,671,545,826
04/26/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",693,593,810,,,,1110,776,1587,762,551,1054,815,660,1006,689,587,809
04/27/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",621,555,695,,,,646,598,698,582,520,652,639,575,710,644,521,796
04/28/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",712,558,908,,,,811,585,1124,629,571,692,670,566,792,,,
04/29/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",661,521,839,,,,761,571,1015,656,520,826,645,549,759,801,482,1332
04/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",620,535,719,,,,596,523,680,560,515,609,680,601,768,,,
