Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",319,171,595,162,107,247,420,218,811,275,146,519,315,181,548,251,147,428
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",261,153,445,376,156,904,255,157,411,236,140,400,270,166,437,238,144,393
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",227,149,344,222,136,361,265,161,437,221,140,350,269,168,429,227,150,343
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",289,156,536,292,165,518,289,148,563,231,139,383,333,174,634,222,151,325
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",246,149,407,283,137,580,384,187,784,212,128,352,560,243,1289,244,150,396
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",238,146,389,317,172,586,362,177,740,244,136,436,382,193,756,230,143,368
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",220,148,328,345,173,687,452,192,1064,252,140,452,350,181,675,219,149,322
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",245,157,384,320,163,627,428,221,830,283,153,523,332,191,575,240,157,368
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",220,150,322,266,138,512,315,170,586,258,144,461,310,178,540,219,149,321
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",240,152,377,211,146,305,225,146,346,215,142,323,281,173,456,217,150,315
