Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,4109,3198,5281,,,,,,
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",2967,2031,4334,,,,3373,3053,3725,,,,,,,,,
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",2705,1686,4341,,,,,,,,,,,,,,,
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",4231,3404,5259,,,,4635,4126,5206,,,,,,,,,
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",2828,1934,4134,,,,,,,3035,2504,3678,,,,,,
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",3318,1988,5537,,,,,,,,,,,,,,,
04/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",3612,2442,5341,,,,,,,,,,3571,2385,5345,,,
04/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Big Horseshoe Drive, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
