Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",2233,1543,3231,,,,2663,2285,3104,2066,1487,2870,2073,1281,3353,1101,675,1796
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1125,751,1686,,,,1448,1085,1932,1211,776,1890,788,632,982,793,606,1037
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",887,622,1266,,,,1224,754,1987,718,602,857,827,595,1150,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1451,937,2246,2099,1769,2492,1569,1133,2173,1228,826,1825,1489,865,2561,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1014,755,1363,2071,1758,2440,1751,1059,2894,1360,951,1944,1087,666,1771,1105,751,1625
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1695,1190,2412,,,,1949,1571,2418,1468,1161,1856,1531,923,2541,711,503,1004
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1571,1203,2051,,,,1616,1264,2068,1508,1200,1895,1394,930,2090,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1721,1193,2482,,,,2214,1739,2817,1525,1213,1917,1165,860,1577,934,661,1321
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",1329,865,2043,,,,1740,1152,2628,1312,944,1823,811,604,1090,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Bonifacio High Street, Bonifacio Global City, 5th Ave, Taguig, Metro Manila",559,483,646,,,,1003,682,1475,895,635,1261,775,634,947,559,483,646
