Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3602,2521,5145,,,,,,,4004,3094,5182,2911,2144,3953,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2733,2072,3606,,,,,,,,,,,,,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2247,1559,3240,,,,,,,,,,,,,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2584,1852,3606,,,,,,,,,,,,,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2477,1827,3358,,,,,,,2586,2270,2945,,,,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3424,2472,4743,,,,,,,,,,2555,2037,3204,1447,1066,1962
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3656,2576,5188,,,,,,,,,,2938,2012,4288,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2591,1600,4196,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3539,2696,4647,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2935,2123,4058,,,,,,,,,,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2878,2155,3843,,,,,,,2824,2277,3502,2494,1938,3210,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2811,1881,4200,,,,,,,2431,2152,2746,2334,1784,3052,,,
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2654,2005,3513,,,
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4021,2978,5430,,,,5036,3992,6351,,,,3673,2734,4934,,,
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3605,2335,5566,,,,,,,,,,,,,,,
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1399,1101,1777,,,,,,,,,,,,,1399,1101,1777
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1369,1065,1759,,,,,,,,,,2594,2405,2798,1369,1065,1759
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4054,3119,5270,,,,,,,,,,3536,2984,4191,,,
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3217,2762,3747,3643,2812,4720,,,
04/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,2237,1892,2644,,,,,,
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1795,1537,2097,,,,,,,1701,1480,1955,,,,,,
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1497,1145,1957,,,,,,,,,,,,,,,
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3051,2380,3910,2379,1629,3472,,,
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4009,2531,6348,,,,,,,,,,,,,,,
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4073,2694,6157,,,,5267,4617,6008,,,,2792,2065,3775,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4746,3538,6367,,,,5731,4788,6858,,,,,,,,,
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2601,1862,3633,,,,3427,2499,4700,,,,,,,,,
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1807,1463,2230,,,,,,,,,,1686,1419,2004,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3071,2460,3832,,,,,,,,,,,,,1169,958,1427
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4438,2733,7206,,,,,,,,,,,,,,,
05/09/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3669,2391,5630,,,,,,,4053,2678,6134,2799,1883,4159,,,
05/10/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3945,2745,5670,,,,,,,,,,,,,,,
05/11/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4584,3391,6198,,,,5792,4996,6714,4189,3404,5154,3568,2641,4820,,,
05/12/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3202,2454,4176,2462,1883,3219,,,
05/13/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/14/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3904,2915,5227,,,,,,,,,,,,,,,
05/15/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/16/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3364,2321,4876,,,,,,,,,,2606,2002,3391,,,
05/17/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3177,2282,4423,,,,,,,,,,,,,,,
05/18/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2911,2191,3868,,,,,,,,,,2346,2001,2751,,,
05/19/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1716,1243,2369,,,,,,,,,,,,,1716,1243,2369
05/20/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,1947,1665,2277,,,,,,
05/21/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2876,2134,3874,,,,,,,,,,2523,1924,3309,1335,1065,1674
05/22/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3135,2884,3407,,,,,,
05/23/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3926,2876,5359,,,,5094,4393,5907,,,,3002,2429,3708,,,
05/24/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3292,2554,4244,,,,,,,3309,2867,3821,2815,2258,3508,,,
05/25/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3179,2516,4017,,,,3998,3337,4789,2860,2639,3100,3111,2465,3927,,,
05/26/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,1917,1831,2007,,,
05/27/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1139,982,1321,,,,,,,,,,,,,,,
05/28/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2518,1985,3194,,,,,,,2510,2304,2735,2226,1768,2802,,,
05/29/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,5124,4081,6433,,,,3619,3168,4134,,,
05/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3161,2225,4491,,,,4380,3670,5228,,,,2186,1779,2686,,,
06/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3570,2651,4808,,,,,,,3011,2475,3663,3310,2597,4218,,,
06/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2587,2007,3333,,,,,,,3075,2421,3907,,,,,,
06/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1241,1011,1522,,,,,,,,,,,,,1241,1011,1522
06/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,2793,2432,3207,,,,1940,1693,2222,,,
06/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4372,2688,7110,,,,6497,5060,8341,,,,,,,,,
06/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2575,1860,3565,,,
06/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2535,2010,3197,,,
06/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4337,2912,6457,,,,,,,4084,2878,5795,3268,2786,3833,,,
06/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",1500,1254,1794,,,,,,,,,,,,,,,
06/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3506,2535,4847,,,,,,
06/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2765,2011,3801,,,
06/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4120,2806,6050,,,,,,,,,,3842,2604,5667,,,
06/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4794,3123,7358,,,,7832,6957,8816,4242,3206,5613,3455,2634,4532,,,
06/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3500,2858,4287,,,,,,
06/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",2063,1592,2673,,,,,,,,,,,,,,,
06/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3655,3103,4305,,,,,,
06/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,4183,2978,5875,,,,,,
06/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,4295,3456,5337,4325,2755,6787,,,
06/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,2833,2292,3501,,,
06/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",4696,3577,6167,,,,,,,,,,,,,,,
06/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,3281,2681,4016,,,,,,
06/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",,,,,,,,,,5381,4226,6852,4269,2426,7513,,,
06/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Broadway Centrum, Quezon City, Metro Manila",3878,2862,5254,,,,,,,3463,2883,4160,3681,2875,4712,,,
