Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1702,875,3311,1599,1193,2144,3089,2338,4083,2078,1458,2962,997,534,1859,427,309,588
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",837,488,1436,525,383,719,1557,1193,2032,995,657,1508,526,383,722,462,324,657
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",345,276,431,319,265,384,731,603,887,551,424,716,579,402,833,347,278,435
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",522,321,848,1305,1066,1598,1382,1039,1839,827,531,1288,667,378,1175,490,314,766
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",679,415,1111,1646,1362,1987,651,403,1053,762,520,1118,499,335,741,483,311,749
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",506,326,787,1071,906,1266,2477,1853,3312,1332,1048,1694,785,498,1235,482,320,727
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",422,294,605,,,,2598,2195,3074,1877,1497,2354,995,532,1862,401,292,549
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",522,331,824,1631,1289,2063,3548,2510,5014,1572,1190,2077,1575,1024,2422,478,321,711
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",877,481,1598,408,309,539,1499,918,2447,1221,796,1871,439,361,532,419,305,576
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",389,285,530,364,305,435,484,386,607,474,387,579,440,342,566,389,287,526
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",499,315,789,1200,936,1538,2633,1659,4178,714,500,1021,821,398,1691,473,307,730
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",442,312,627,851,683,1061,2440,2009,2964,1246,871,1781,884,451,1734,427,309,590
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1459,749,2840,637,472,860,3062,2194,4273,1344,741,2439,1998,1400,2850,394,299,518
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",419,307,570,373,300,465,393,307,503,436,298,638,424,329,545,466,314,692
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",347,263,458,303,279,330,354,279,450,356,261,485,386,288,517,351,263,468
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",417,306,570,327,288,372,491,332,725,403,313,520,406,303,544,331,255,429
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",513,381,689,353,267,467,567,464,691,523,403,679,536,380,755,334,265,420
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",833,486,1426,1194,892,1598,1500,772,2915,612,464,808,794,403,1564,530,322,873
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",514,320,826,,,,2259,1613,3165,1335,1101,1618,1003,525,1914,497,315,784
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1601,955,2683,,,,3098,2448,3922,1326,933,1886,1341,752,2390,467,312,699
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1800,1129,2868,1773,1489,2111,3663,2831,4738,1526,1202,1938,1589,919,2748,486,317,743
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",546,343,868,903,772,1055,3374,2709,4202,2342,1837,2984,1264,686,2327,526,335,825
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",805,535,1212,883,715,1090,1113,827,1499,851,606,1194,623,419,926,397,309,510
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",382,295,494,397,322,489,762,556,1045,521,403,671,565,406,786,382,295,493
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",573,356,921,985,875,1108,2343,1695,3240,911,588,1411,1288,583,2843,539,343,845
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",521,317,855,1974,1472,2649,3600,2878,4504,2039,1597,2603,1325,634,2772,476,305,743
