Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2144,1296,3548,,,,3027,2391,3834,2015,1536,2642,1572,941,2626,869,616,1226
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1080,817,1428,866,757,990,1337,1010,1768,1010,830,1229,892,735,1083,713,538,944
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",669,565,791,,,,1022,806,1294,824,680,999,896,699,1150,653,551,774
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1332,890,1994,,,,1634,1136,2350,1208,871,1673,1086,724,1628,686,525,897
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1354,884,2073,,,,1587,1161,2171,1425,1005,2019,891,654,1213,719,607,851
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",687,567,832,,,,1941,1574,2394,1602,1179,2177,1099,758,1593,687,567,832
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",648,510,822,2007,1708,2358,2195,1723,2796,1914,1572,2331,1203,870,1662,648,510,822
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1849,1253,2727,1909,1596,2285,2625,2103,3277,1629,1254,2116,1391,1005,1927,872,557,1363
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1220,848,1755,,,,1426,1073,1894,1412,1084,1838,820,650,1033,677,488,941
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",791,626,998,,,,880,706,1097,724,607,863,811,635,1034,1073,638,1803
