Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3881,2941,5120,,,,,,,4045,3616,4525,3212,2592,3979,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2465,1904,3192,,,,3019,2785,3273,2666,2349,3027,1806,1635,1993,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,1747,1552,1966,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,2300,1937,2730,2790,1844,4220,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2358,1668,3332,,,,,,,,,,1906,1423,2553,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1687,1328,2143,,,,5676,4460,7225,3106,2915,3309,2768,1875,4085,1274,1028,1578
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3913,2784,5501,,,,5899,5182,6716,3583,2632,4878,,,,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3624,3116,4214,4020,3229,5003,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2708,2063,3554,,,,2892,2365,3535,,,,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2877,1864,4440,,,,4076,3208,5180,2109,1770,2512,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,2798,2282,3430,2915,2125,3999,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4525,3168,6462,,,,,,,3930,3535,4369,,,,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1383,1229,1556,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2026,1508,2722,,,,,,,,,,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2323,1644,3282,,,,,,,2111,1537,2899,2465,1670,3637,1921,1359,2716
