Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",67,28,160,82,34,196,93,31,270,113,35,363,41,23,72,66,28,158
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",51,25,103,53,27,104,50,25,99,66,28,151,35,22,55,36,23,56
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",28,20,38,29,20,41,46,25,83,33,22,50,40,23,67,28,20,38
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",49,24,101,104,37,292,33,21,52,48,24,94,35,22,57,44,23,85
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",43,23,82,101,37,276,114,39,331,77,31,193,54,27,105,41,22,74
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",73,29,185,99,35,279,76,29,199,96,33,275,35,22,56,42,23,76
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",80,30,213,89,33,239,72,28,182,103,33,317,46,24,88,44,23,82
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",84,31,226,113,39,327,76,29,199,115,37,355,37,21,65,36,22,60
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",57,26,126,54,26,113,50,24,107,82,31,212,35,21,58,30,21,45
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","* Lapu Lapu St Magallanes Village-Makati City, Makati, Metro Manila",29,20,42,27,20,38,34,21,54,37,22,61,32,20,51,30,20,43
