Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",,,,150,79,285,208,52,818,167,52,533,133,83,214,,,
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",129,66,251,,,,111,79,156,146,73,294,126,57,277,205,83,509
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",227,72,708,,,,110,92,131,124,68,227,190,101,358,257,73,906
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",141,65,303,,,,113,50,254,145,68,307,164,84,320,130,32,520
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",164,65,411,95,28,317,159,83,306,166,73,379,199,84,470,182,71,464
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",153,56,415,,,,158,100,247,133,46,387,191,76,478,182,96,344
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",153,71,328,,,,155,72,331,148,66,328,161,83,311,,,
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",135,48,378,158,71,351,143,68,299,120,32,454,135,55,330,132,67,258
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",168,69,406,,,,151,76,300,110,45,271,210,91,483,261,116,587
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",125,52,302,66,23,183,130,66,256,116,68,199,215,67,687,,,
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",,,,157,84,291,105,73,149,127,45,352,173,88,341,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",,,,141,78,256,107,77,147,129,56,293,148,38,567,,,
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",137,59,317,102,37,283,181,69,475,124,60,253,135,69,265,148,55,398
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",172,42,706,,,,210,28,1578,88,42,183,243,96,613,,,
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",138,52,364,,,,,,,155,69,347,176,57,543,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",,,,,,,123,66,226,82,45,148,96,43,214,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",154,94,253,,,,147,97,222,110,53,227,392,123,1250,165,101,268
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",103,43,246,,,,78,37,164,97,33,287,138,82,233,147,68,313
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",161,60,431,,,,133,84,209,108,35,331,293,126,679,208,61,702
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",125,47,330,165,112,242,99,26,370,119,49,285,149,73,302,276,105,721
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",101,33,305,176,59,521,171,78,375,153,65,362,213,67,670,,,
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",305,83,1115,,,,120,42,343,110,44,271,148,52,423,373,223,623
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",139,58,336,,,,161,72,361,119,49,292,134,68,261,285,152,535
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",108,43,271,,,,117,75,182,108,46,252,104,50,218,309,120,797
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",112,46,270,102,28,361,107,47,243,118,43,325,113,69,186,,,
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Magdalena Street, Makati, Metro Manila",161,53,487,182,74,443,153,68,343,176,44,697,139,48,400,,,
