Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",292,153,559,363,256,514,1145,735,1784,467,231,945,482,232,1001,283,147,547
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",288,168,491,283,165,487,335,203,552,334,195,570,210,134,330,231,139,384
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",226,140,365,170,131,220,252,148,430,231,141,379,207,137,314,215,132,349
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",223,136,364,550,325,931,289,153,546,287,159,517,241,146,400,203,131,317
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",232,138,389,413,224,760,380,210,688,310,160,601,251,151,416,215,134,345
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",229,142,368,297,180,489,413,201,849,392,205,751,252,146,438,216,137,341
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",390,198,768,303,214,430,458,223,938,391,199,770,319,168,604,235,140,392
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",447,212,942,532,273,1037,566,269,1191,436,209,908,337,169,671,264,140,498
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",236,136,410,261,156,437,393,216,714,358,186,689,229,136,385,243,136,432
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",171,127,231,201,127,317,197,126,307,205,128,327,191,126,289,170,126,230
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",231,141,378,486,254,930,309,178,536,319,168,605,276,152,503,214,134,341
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",248,147,418,304,204,452,376,238,594,403,198,820,291,162,525,238,140,402
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",227,145,356,277,182,422,364,201,659,284,163,496,288,172,482,219,141,341
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",216,131,358,222,147,336,222,132,374,188,123,287,247,137,443,192,128,288
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",179,123,260,213,130,346,222,139,354,182,130,255,195,128,296,176,123,251
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",197,129,300,172,124,239,184,138,246,180,124,260,226,133,383,188,120,294
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Makati Square, Chino Roces Ave, Legazpi Village, Makati, Metro Manila",197,125,309,189,128,278,212,132,338,180,119,273,216,135,347,172,113,262
