Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1294,884,1893,1391,1113,1737,,,,2355,1630,3402,1367,920,2032,1189,833,1697
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1306,950,1794,,,,,,,1434,1097,1876,974,751,1264,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1029,801,1323,,,,,,,919,728,1160,1154,903,1474,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1243,891,1734,,,,1533,1078,2178,1075,829,1396,1495,1023,2183,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1124,860,1468,,,,2488,1290,4798,,,,,,,1124,860,1468
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1002,707,1419,,,,2525,1766,3608,1682,1256,2251,1792,1030,3118,1002,707,1419
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1976,1317,2965,1987,1415,2791,2867,2168,3790,1789,1289,2481,1562,907,2688,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2158,1432,3250,,,,3259,2361,4497,1639,1266,2122,1831,1316,2547,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1475,1009,2155,,,,1549,998,2406,1516,1129,2034,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",952,746,1213,,,,1035,901,1189,1014,767,1341,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1489,933,2376,,,,1921,1226,3011,1032,777,1369,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,2334,1818,2997,1519,1224,1885,,,,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1462,968,2208,,,,,,,1560,1148,2121,1271,807,2004,1242,874,1763
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",671,632,713,,,,,,,,,,,,,839,653,1077
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",967,770,1214,,,,,,,952,745,1217,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1108,759,1616,,,,,,,1112,711,1737,1116,791,1575,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1442,961,2162,,,,,,,1295,911,1841,,,,,,
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1600,1130,2266,,,,1938,1573,2388,1294,951,1761,2002,1786,2243,,,
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1337,864,2069,,,,,,,2129,1383,3275,,,,1325,831,2112
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1007,741,1368,1886,1440,2471,2910,2052,4127,1628,1197,2214,2153,1367,3391,937,717,1225
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2193,1454,3306,,,,,,,2345,1713,3210,1985,1212,3252,,,
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1361,996,1862,,,,1846,1250,2727,1318,1056,1645,1161,886,1522,1055,752,1480
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",886,730,1074,,,,1189,950,1488,1031,797,1335,1103,763,1593,886,730,1074
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2053,1307,3223,,,,2250,1695,2986,1464,1010,2124,2856,1943,4198,,,
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2454,1541,3910,,,,3939,3057,5076,2233,1736,2872,2006,1050,3833,,,
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2350,1537,3593,,,,,,,2513,1845,3423,2180,1298,3660,,,
