Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",1693,1055,2714,1158,924,1452,2736,2202,3401,1557,1022,2373,1620,986,2664,750,427,1319
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",862,510,1455,1049,869,1265,1125,802,1579,1690,1237,2310,572,406,805,672,370,1222
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",521,329,824,302,261,349,1073,845,1362,820,531,1267,584,391,871,552,351,870
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",433,276,678,754,506,1123,937,659,1330,997,723,1374,601,399,906,404,270,604
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",452,312,654,,,,1524,1111,2091,987,687,1418,1079,622,1871,443,307,638
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",479,326,703,1316,1052,1646,2047,1327,3157,1614,1044,2497,851,478,1515,455,312,662
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",1383,768,2491,,,,1974,1340,2908,1541,990,2398,913,498,1674,504,336,755
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",566,386,829,1468,1124,1917,1870,1300,2689,1530,996,2352,986,535,1819,531,364,773
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",563,328,966,970,634,1484,1828,1304,2561,1707,1117,2610,608,431,856,607,345,1067
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Masagana Gas Corporation - Corporate Office, No. 9775, Kamagong Street, San Antonio Village, Makati City, Metro Manila, Makati, Metro Manila",419,303,580,,,,553,425,718,445,328,604,366,278,482,366,262,510
