Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3617,2790,4690,,,,,,,,,,,,,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2489,1796,3450,,,,,,,,,,2080,1612,2684,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2543,1994,3242,,,,,,,2697,2225,3270,,,,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3744,2541,5517,,,,,,,,,,,,,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1106,978,1251,,,,,,,,,,,,,1106,978,1251
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3747,2685,5229,,,,,,,,,,,,,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3504,2982,4117,,,,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1545,1264,1887,,,,,,,,,,,,,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2765,2099,3642,,,,,,,,,,2893,2084,4018,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3649,2840,4688,,,,,,
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1483,1116,1971,,,,,,,,,,,,,1483,1116,1971
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1629,1172,2264,,,,,,,,,,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1175,977,1413,,,,,,,,,,2328,1725,3142,1175,977,1413
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3690,3210,4242,,,,,,,,,,,,,,,
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4066,3493,4734,,,,,,,,,,,,,,,
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4063,2926,5641,,,,,,,,,,,,,,,
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1295,1028,1632,,,,,,,,,,2037,1631,2543,1295,1028,1632
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2028,1651,2491,,,,,,,,,,,,,,,
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1301,991,1707,,,,,,,,,,,,,1301,991,1707
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4939,3670,6647,,,,,,,,,,,,,,,
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3869,3102,4826,,,,,,,,,,3893,3014,5029,,,
04/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3236,2196,4769,,,,,,,,,,,,,1426,1164,1746
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2308,1649,3229,,,,,,,2707,2132,3436,,,,1275,1049,1549
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1268,1065,1510,,,,,,,1823,1528,2175,,,,1268,1065,1510
