Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1165,743,1826,902,663,1227,1521,1130,2047,1129,756,1687,939,561,1574,456,325,640
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",670,449,999,574,392,841,785,554,1113,675,457,997,548,378,795,391,234,654
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",527,395,703,395,331,473,624,483,805,504,376,674,505,400,636,589,363,954
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",505,330,774,1294,939,1785,629,433,914,800,506,1265,576,364,911,383,299,490
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",535,313,914,1119,804,1557,735,525,1029,695,504,958,520,330,818,535,313,914
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",833,571,1213,1116,771,1615,877,657,1172,845,622,1148,611,425,879,438,330,582
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",576,335,988,1104,831,1465,1163,813,1664,966,684,1364,606,405,906,510,320,813
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1030,650,1632,1219,882,1685,1449,1029,2041,939,641,1375,784,461,1333,522,319,853
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",708,472,1061,,,,815,558,1190,802,547,1176,518,379,708,465,329,658
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",384,288,511,412,343,494,470,348,633,511,355,736,469,220,999,389,287,528
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",716,467,1098,,,,718,500,1032,636,430,939,694,430,1119,684,397,1178
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",792,531,1180,695,508,951,1034,680,1570,788,568,1093,692,436,1099,548,342,877
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",762,504,1152,521,390,696,973,693,1366,783,535,1147,656,435,989,506,325,789
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",463,312,688,,,,504,363,699,421,290,610,505,320,797,466,331,656
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",427,281,648,,,,,,,402,258,626,457,309,674,374,292,479
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",,,,,,,454,344,600,495,368,667,498,365,680,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",378,267,534,,,,656,406,1060,507,372,692,450,385,525,370,259,529
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",798,453,1406,894,734,1090,657,424,1018,639,445,916,551,389,780,746,388,1432
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",475,364,619,,,,1019,671,1546,797,599,1061,725,451,1166,449,354,570
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1095,675,1778,1416,905,2215,1455,1146,1847,874,592,1292,901,502,1617,484,299,785
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",623,411,943,,,,1670,1199,2325,832,620,1118,812,482,1366,570,371,875
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",640,298,1376,696,576,842,2001,1602,2499,1251,835,1875,981,569,1692,614,259,1456
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",582,435,778,537,452,636,532,415,682,626,472,830,597,407,874,467,303,719
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",468,331,664,445,350,566,653,483,882,497,342,723,543,373,791,482,335,694
