Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",511,375,696,,,,3370,2692,4219,2089,1479,2950,1378,784,2423,511,375,696
03/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",980,612,1571,506,471,543,1661,1292,2136,1114,852,1457,633,465,861,580,382,879
04/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",435,373,507,,,,881,683,1136,718,564,914,617,497,765,428,363,503
04/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1061,605,1860,,,,1738,1025,2946,899,612,1321,744,442,1249,496,356,693
04/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",950,611,1477,1649,1397,1946,1062,745,1513,952,623,1453,637,481,843,516,392,678
04/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1433,861,2386,,,,2465,1886,3221,1394,1116,1741,1101,653,1856,910,518,1598
04/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",545,396,750,2342,1841,2977,2958,2296,3811,1898,1466,2457,999,556,1796,545,396,750
04/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",530,353,798,,,,3553,2553,4944,1699,1040,2775,1501,1081,2086,530,353,798
04/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1128,668,1903,,,,1297,906,1858,1548,1006,2382,630,476,832,549,406,743
04/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",448,390,514,,,,704,494,1003,605,506,723,561,474,664,448,390,514
04/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1296,671,2501,,,,2872,1917,4303,783,592,1035,996,502,1979,684,422,1108
04/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1555,819,2951,,,,3353,2420,4645,1206,912,1595,940,522,1691,530,356,789
04/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",1971,1244,3123,,,,2512,1792,3521,1607,1104,2341,2217,1406,3495,446,390,509
04/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",552,393,776,,,,487,378,628,508,350,737,693,468,1027,569,400,811
04/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",481,337,687,,,,,,,376,355,399,642,377,1092,498,340,727
04/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",442,333,585,,,,523,405,676,532,408,694,500,398,628,457,345,604
04/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Powerplant Mall, Power Plant Mall Hidalgo Drive, Makati, Metro Manila",650,487,867,,,,609,520,713,712,529,958,659,491,884,406,372,443
