Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",1117,695,1795,,,,4126,3456,4927,2692,1918,3779,2013,1478,2743,1118,686,1822
03/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",1539,1049,2256,,,,1786,1419,2247,2158,1682,2769,1067,851,1338,850,576,1253
04/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",765,527,1112,881,714,1088,1533,1281,1835,1227,926,1625,973,701,1351,828,563,1216
04/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",1385,1004,1911,1081,995,1175,1511,1237,1845,1602,1246,2059,1081,780,1499,673,482,941
04/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",761,564,1025,1693,1383,2074,3403,2522,4592,1973,1536,2534,1823,1395,2382,761,564,1025
04/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",2258,1338,3810,2030,1783,2312,3209,2380,4327,2521,1803,3527,1451,925,2275,766,558,1052
04/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",2302,1410,3759,,,,3461,2669,4489,2486,1795,3442,1536,988,2387,816,596,1117
04/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",2229,1406,3535,2239,1870,2682,2932,2285,3762,2771,1985,3869,1470,1003,2155,1065,790,1436
04/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",1077,674,1719,1986,1714,2301,2462,1669,3632,2867,2214,3713,1091,848,1404,1144,717,1826
04/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Quirino Avenue, Manila, Metro Manila",818,610,1097,,,,1101,867,1399,814,652,1015,720,552,939,621,480,802
