Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",770,570,1039,,,,4885,3931,6069,2765,1708,4474,1989,1463,2705,748,564,992
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",1525,998,2329,992,744,1323,2734,2379,3142,1847,1394,2448,1176,878,1576,854,625,1165
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",1147,787,1671,607,518,710,1628,1461,1814,1001,749,1338,1271,911,1774,631,519,766
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",1529,933,2507,2437,2051,2897,2690,2048,3534,1467,1063,2023,1268,744,2162,758,543,1057
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",788,548,1133,2492,2264,2742,1598,1123,2273,1487,1195,1852,1151,810,1636,781,546,1117
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",825,587,1160,2278,2023,2566,3908,3037,5029,2078,1811,2384,1570,1064,2315,808,583,1122
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",701,535,918,,,,4202,3666,4816,2813,2296,3445,1846,1220,2793,673,537,844
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",2621,1880,3655,,,,5460,4413,6754,2411,1972,2947,2500,1679,3722,1034,637,1677
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",748,573,976,1022,818,1278,2604,1963,3454,2299,1536,3440,951,782,1158,751,573,984
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",900,694,1165,676,492,929,1119,969,1293,929,742,1163,787,644,962,651,542,783
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",1830,1105,3029,1728,1352,2208,4521,3409,5995,1441,1061,1957,1850,1024,3342,733,537,999
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",745,574,967,1362,1231,1508,4272,3575,5104,2091,1546,2826,1677,981,2868,725,571,920
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",718,561,917,1216,954,1550,5289,4461,6270,2425,1575,3734,4524,3753,5454,691,551,866
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",843,584,1215,684,627,746,663,548,801,726,542,971,746,597,931,847,586,1222
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",585,486,703,545,499,596,568,525,614,636,487,831,657,550,785,589,487,713
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Robinsons Galleria Ortigas, EDSA corner, Ortigas Ave, Quezon City, Metro Manila",593,475,741,563,522,607,1442,1152,1805,1246,802,1935,912,687,1212,597,472,756
