Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,2172,1691,2789,1379,950,2002,,,,,,
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1210,940,1557,,,,1348,1062,1710,1220,958,1553,1131,851,1503,,,
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,,,,1274,1016,1597,,,,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,,,,1121,909,1382,928,747,1154,,,
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,2357,1731,3209,1499,1016,2210,1689,1322,2156,,,
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1363,1050,1769,,,,1382,1092,1751,1239,918,1672,1420,1124,1793,914,467,1788
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1270,954,1692,,,,1438,1018,2029,1150,887,1491,1182,973,1435,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1340,960,1871,,,,1699,1421,2030,1346,918,1974,1250,952,1640,,,
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1294,1013,1652,,,,1268,1097,1466,1393,1082,1792,1014,809,1272,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,1070,943,1213,1018,840,1234,878,636,1213,,,
04/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1229,911,1658,,,,1212,954,1542,1309,914,1873,,,,,,
04/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1221,894,1666,,,,1153,988,1345,1501,1031,2186,963,786,1179,,,
04/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1032,755,1411,,,,1451,1098,1917,1567,1220,2012,1100,933,1297,1032,755,1411
04/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1126,903,1405,,,,1244,1012,1528,1064,845,1340,1041,890,1219,,,
04/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,,,,917,774,1088,,,,,,
04/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",945,789,1131,,,,,,,999,871,1145,,,,,,
04/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1065,859,1322,,,,980,881,1090,1123,900,1402,,,,,,
04/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,1169,1003,1361,912,749,1111,1239,910,1688,,,
04/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1224,875,1712,,,,1446,1029,2030,1060,787,1429,1173,882,1559,,,
04/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1246,945,1644,,,,1279,1001,1634,1370,1110,1692,1085,818,1438,,,
04/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1349,1014,1795,,,,1546,1130,2116,1093,892,1340,1363,1053,1764,,,
04/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1332,1096,1619,,,,1324,1092,1606,1335,1089,1637,,,,,,
04/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1190,908,1559,,,,1156,955,1400,1296,996,1687,,,,,,
04/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1183,899,1556,,,,1180,1016,1371,1191,929,1526,,,,,,
04/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",905,646,1266,,,,1263,961,1659,1075,866,1334,1046,843,1298,,,
04/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,1246,985,1575,1324,990,1769,,,,,,
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1214,882,1670,,,,,,,,,,1004,797,1264,,,
04/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",681,581,799,,,,849,718,1005,898,716,1125,902,744,1093,,,
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1186,863,1632,,,,1211,926,1585,1572,1109,2228,904,802,1020,,,
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",975,784,1212,,,,,,,971,802,1176,,,,,,
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",953,721,1258,,,,1022,826,1265,957,719,1275,968,749,1251,,,
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,1393,1023,1896,1210,841,1739,969,769,1222,,,
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1346,1059,1710,,,,1551,1330,1809,1377,1049,1807,1085,972,1210,,,
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",728,531,999,,,,1372,1242,1514,1215,969,1523,,,,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1408,920,2153,,,,,,,1261,933,1704,1450,858,2451,,,
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,1110,991,1245,1698,1174,2457,1277,1010,1614,1193,939,1514,,,
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,825,777,877,1189,1014,1394,1369,1080,1733,,,,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1116,879,1416,,,,1193,1023,1391,1072,877,1310,,,,,,
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1361,982,1886,,,,1575,1050,2365,1206,944,1539,,,,,,
05/09/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1302,972,1744,,,,1454,1079,1958,1258,937,1689,,,,,,
05/10/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1155,874,1526,,,,1269,967,1665,960,766,1203,1205,927,1566,,,
05/11/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1373,970,1943,,,,,,,1241,925,1665,1490,968,2294,,,
05/12/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",,,,,,,1291,1122,1486,1375,982,1925,987,745,1307,,,
05/13/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1106,814,1502,,,,1054,884,1255,1171,873,1569,1109,733,1678,,,
05/14/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1019,824,1259,,,,,,,987,810,1204,946,757,1184,,,
05/15/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1239,925,1659,,,,1444,1073,1943,1188,916,1540,,,,627,588,669
05/16/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","SM Mall Of Asia, Pasay City, Metro Manila",1121,929,1353,,,,,,,1037,892,1206,1208,965,1512,,,
