Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",2903,1734,4860,,,,5034,4330,5852,2957,2218,3942,2032,1262,3273,713,608,835
03/31/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",1608,1056,2449,980,745,1289,,,,1717,1348,2187,1069,939,1216,993,578,1706
04/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",1096,833,1443,,,,1251,1130,1384,963,761,1219,1139,844,1538,,,
04/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",1797,1103,2928,,,,2896,1987,4219,1482,1084,2025,1318,791,2194,804,611,1059
04/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",1210,887,1650,,,,,,,1239,1064,1442,1043,795,1367,871,600,1263
04/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",,,,,,,,,,2073,1718,2502,1590,1127,2244,,,
04/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",,,,4017,3294,4898,3483,3165,3834,2964,2359,3725,1953,1141,3344,,,
04/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",931,633,1369,,,,4502,3451,5873,2510,2103,2996,2306,1627,3269,847,605,1187
04/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",1744,1028,2959,,,,2449,1591,3770,1776,1324,2384,891,694,1142,,,
04/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Sheridan, Mandaluyong, Metro Manila",782,657,930,,,,818,767,872,832,668,1035,704,613,807,1030,571,1858
